stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A277650,TIGER 코스피중형주,20190129,12575,12575,12505,12555,37647,0,-6,12583,12360,12124,12541
A277650,TIGER 코스피중형주,20190128,12595,12685,12595,12625,18479,0,24,12558,12347,12103,12548
A277650,TIGER 코스피중형주,20190125,12560,12665,12560,12665,42054,0,11,12524,12326,12078,12553
A277650,TIGER 코스피중형주,20190124,12540,12545,12495,12545,11541,0,39,12470,12287,12053,12557
A277650,TIGER 코스피중형주,20190123,12445,12530,12445,12525,31,0,19,12433,12264,12028,12562
A277650,TIGER 코스피중형주,20190122,12455,12455,12430,12430,2,0,-2,12415,12245,12011,12568
A277650,TIGER 코스피중형주,20190121,12445,12455,12435,12455,8,0,5,12406,12231,11998,12573
A277650,TIGER 코스피중형주,20190118,12365,12395,12365,12395,7705,0,4,12385,12217,11989,12576
A277650,TIGER 코스피중형주,20190117,12395,12395,12335,12360,9902,0,39,12377,12202,11982,12580
A277650,TIGER 코스피중형주,20190116,12430,12440,12430,12435,49,0,-7,12365,12196,11982,12584
A277650,TIGER 코스피중형주,20190115,12430,12470,12385,12385,27725,0,-67,12346,12185,11980,12588
A277650,TIGER 코스피중형주,20190114,12350,12350,12350,12350,0,0,0,12306,12179,11979,12595
A277650,TIGER 코스피중형주,20190111,12290,12355,12290,12355,401,0,20,12273,12166,11980,12603
A277650,TIGER 코스피중형주,20190110,12325,12345,12300,12300,17254,0,-4,12212,12144,11979,12611
A277650,TIGER 코스피중형주,20190109,12350,12405,12335,12340,19056,0,13,12159,12123,11978,12620
A277650,TIGER 코스피중형주,20190108,12280,12280,12185,12185,19207,0,-107,12097,12110,11979,12628
A277650,TIGER 코스피중형주,20190107,12200,12220,12180,12185,2419,0,31,12118,12104,11980,12638
A277650,TIGER 코스피중형주,20190104,11870,12095,11870,12050,50904,0,497,12120,12108,11990,12648
A277650,TIGER 코스피중형주,20190103,12085,12085,11975,12035,112219,0,9,12090,12123,12008,12658
A277650,TIGER 코스피중형주,20190102,12255,12300,12025,12030,50422,0,3,12098,12141,12029,12669
A277650,TIGER 코스피중형주,20181228,12160,12300,12160,12290,4783,0,8,12123,12152,12052,12678
A277650,TIGER 코스피중형주,20181227,12085,12230,12085,12195,92490,0,11,12095,12147,12072,12686
A277650,TIGER 코스피중형주,20181226,11925,11990,11785,11900,84043,0,-32,12090,12146,12097,12695
A277650,TIGER 코스피중형주,20181224,12105,12105,12065,12075,76249,0,130,12131,12162,12127,12707
A277650,TIGER 코스피중형주,20181221,12155,12155,12070,12155,176693,0,153,12160,12168,12154,12720
A277650,TIGER 코스피중형주,20181220,12095,12185,12040,12150,219,0,-104,12173,12160,12177,12733
A277650,TIGER 코스피중형주,20181219,12165,12180,12165,12170,642,0,380,12196,12157,12199,12746
A277650,TIGER 코스피중형주,20181218,12115,12200,12095,12105,692,0,57,12183,12157,12221,12760
A277650,TIGER 코스피중형주,20181217,12245,12245,12220,12220,202,0,-197,12143,12155,12245,12775
A277650,TIGER 코스피중형주,20181214,12210,12235,12210,12220,38260,0,10,12076,12150,12268,12788
A277650,TIGER 코스피중형주,20181213,12115,12275,12115,12265,123771,0,14,12048,12136,12292,12801
A277650,TIGER 코스피중형주,20181212,11970,12105,11970,12105,27074,0,66,12008,12115,12315,12816
A277650,TIGER 코스피중형주,20181211,11885,11930,11860,11905,65003,0,108,12039,12094,12338,12830
A277650,TIGER 코스피중형주,20181210,11960,12030,11820,11885,305334,0,-442,12127,12081,12365,12848
A277650,TIGER 코스피중형주,20181207,12235,12235,12015,12080,682737,0,204,12230,12065,12392,12868
A277650,TIGER 코스피중형주,20181206,12150,12150,12065,12065,193911,0,-2,12263,12040,12414,12888
A277650,TIGER 코스피중형주,20181205,12110,12310,12110,12260,55012,0,-88,12288,12021,12435,12910
