stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A278240,KBSTAR 코스닥150선물레버리지,20190129,11585,11675,11345,11615,64363,35381,-4845,11376,11079,11405,13094
A278240,KBSTAR 코스닥150선물레버리지,20190128,11475,11830,11475,11640,99525,35561,5362,11244,11073,11392,13121
A278240,KBSTAR 코스닥150선물레버리지,20190125,11280,11615,11190,11485,93266,35430,8385,11107,11064,11377,13140
A278240,KBSTAR 코스닥150선물레버리지,20190124,10890,11290,10865,11245,94977,38525,18937,11033,11065,11372,13157
A278240,KBSTAR 코스닥150선물레버리지,20190123,10880,10975,10825,10895,60316,42306,10323,10934,11072,11363,13179
A278240,KBSTAR 코스닥150선물레버리지,20190122,10995,11045,10850,10955,10573,55615,1865,10975,11098,11372,13203
A278240,KBSTAR 코스닥150선물레버리지,20190121,11155,11155,10880,10955,38314,57986,-3506,11014,11107,11390,13220
A278240,KBSTAR 코스닥150선물레버리지,20190118,10870,11140,10840,11115,49363,63348,9264,11005,11123,11415,13243
A278240,KBSTAR 코스닥150선물레버리지,20190117,11105,11200,10750,10750,71633,60362,-6539,11026,11102,11449,13264
A278240,KBSTAR 코스닥150선물레버리지,20190116,11190,11190,10890,11100,38670,68374,5736,11118,11102,11506,13302
A278240,KBSTAR 코스닥150선물레버리지,20190115,10965,11245,10935,11150,46073,75113,8349,11115,11089,11553,13340
A278240,KBSTAR 코스닥150선물레버리지,20190114,11185,11185,10880,10910,113295,75051,-21170,11049,11106,11590,13381
A278240,KBSTAR 코스닥150선물레버리지,20190111,11260,11335,11125,11220,26394,51125,-1598,11073,11136,11640,13427
A278240,KBSTAR 코스닥150선물레버리지,20190110,11050,11375,10970,11210,45508,52715,-2327,10994,11118,11678,13475
A278240,KBSTAR 코스닥150선물레버리지,20190109,10885,11215,10860,11085,62154,48615,14155,10854,11116,11711,13524
A278240,KBSTAR 코스닥150선물레버리지,20190108,11045,11060,10700,10820,119949,43535,-27572,10850,11146,11758,13572
