stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A278990,파인이엠텍,20190129,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190128,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190125,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190124,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190123,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190122,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190121,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190118,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190117,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190116,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190115,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190114,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190111,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190110,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190109,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190108,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190107,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190104,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190103,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20190102,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181228,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181227,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181226,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181224,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181221,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
A278990,파인이엠텍,20181220,4100,4100,4100,4100,0,0,0,4100,4100,4100,4100
