stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A280360,롯데제과,20190129,166500,173000,165000,169000,1673,1129987,235,166800,162700,161817,163629
A280360,롯데제과,20190128,165500,169000,165500,166500,2233,1129911,-390,165700,161800,161667,163517
A280360,롯데제과,20190125,166000,169000,165500,168000,1891,1129752,416,164400,161275,161542,163446
A280360,롯데제과,20190124,165500,166500,162500,166000,1116,1129504,216,163100,160675,161325,163350
A280360,롯데제과,20190123,162000,166000,159500,164500,1609,1129415,192,161800,160350,161200,163254
A280360,롯데제과,20190122,160500,164000,159000,163500,1529,1129363,425,161000,160250,161108,163171
A280360,롯데제과,20190121,161000,162000,158500,160000,1592,1129206,-587,160500,160225,160992,163092
A280360,롯데제과,20190118,160500,161500,158500,161500,986,1128964,24,160500,160400,160958,163067
A280360,롯데제과,20190117,162000,162000,159000,159500,1506,1128720,193,161300,160500,160867,163029
A280360,롯데제과,20190116,162000,162500,158000,160500,2743,1128374,-1314,161300,160925,160958,162983
A280360,롯데제과,20190115,160000,162000,158000,161000,1558,1127520,164,161800,161350,161042,162971
A280360,롯데제과,20190114,165000,165000,157500,160000,2878,1127410,20,162500,161750,161183,162975
A280360,롯데제과,20190111,158500,165500,158500,165500,1822,1128864,601,164400,162350,161392,162979
A280360,롯데제과,20190110,163000,163000,157500,159500,1622,1128876,-1016,163800,162700,161492,162958
A280360,롯데제과,20190109,165000,168000,162000,163000,1545,1128879,-300,163200,163225,161775,163012
A280360,롯데제과,20190108,169500,169500,164500,164500,964,1126077,528,161200,163775,162058,163046
A280360,롯데제과,20190107,162000,169500,160500,169500,2608,1126511,290,158500,164000,162192,163046
A280360,롯데제과,20190104,154500,162500,153500,162500,2415,1126147,1506,155800,164250,162250,163004
A280360,롯데제과,20190103,153000,158000,152000,156500,3193,1126344,2227,154500,164775,162425,163000
A280360,롯데제과,20190102,153000,154500,152500,153000,1539,1128443,916,155100,165575,162625,163042
