stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A281310,바이오시네틱스,20190129,7500,7500,7500,7500,0,0,0,7500,7370,7489,8155
A281310,바이오시네틱스,20190128,7500,7500,7500,7500,0,0,0,7460,7360,7506,8167
A281310,바이오시네틱스,20190125,7500,7500,7500,7500,0,0,0,7460,7380,7504,8178
A281310,바이오시네틱스,20190124,7500,7500,7500,7500,0,0,0,7460,7378,7508,8194
A281310,바이오시네틱스,20190123,7500,7500,7500,7500,200,0,0,7420,7375,7512,8211
A281310,바이오시네틱스,20190122,7300,7300,7300,7300,8,0,0,7380,7372,7520,8227
A281310,바이오시네틱스,20190121,7500,7500,7500,7500,0,0,0,7380,7388,7534,8246
A281310,바이오시네틱스,20190118,7500,7500,7500,7500,8,0,0,7340,7392,7550,8265
A281310,바이오시네틱스,20190117,7300,7300,7300,7300,0,0,0,7300,7390,7549,8284
A281310,바이오시네틱스,20190116,7300,7300,7300,7300,0,0,0,7300,7398,7571,8302
A281310,바이오시네틱스,20190115,7300,7300,7300,7300,0,0,0,7300,7405,7593,8320
A281310,바이오시네틱스,20190114,7300,7300,7300,7300,0,0,0,7300,7412,7597,8341
A281310,바이오시네틱스,20190111,7300,7300,7300,7300,0,0,0,7300,7438,7601,8361
A281310,바이오시네틱스,20190110,7300,7300,7300,7300,0,0,0,7300,7462,7621,8382
A281310,바이오시네틱스,20190109,7300,7300,7300,7300,65,0,0,7300,7502,7641,8402
A281310,바이오시네틱스,20190108,7300,7300,7300,7300,0,0,0,7300,7529,7659,8416
A281310,바이오시네틱스,20190107,7300,7300,7300,7300,0,0,0,7300,7546,7660,8430
A281310,바이오시네틱스,20190104,7300,7300,7300,7300,75,0,-75,7420,7570,7668,8444
A281310,바이오시네틱스,20190103,7300,7300,7300,7300,0,0,0,7450,7586,7672,8459
A281310,바이오시네틱스,20190102,7300,7300,7300,7300,0,0,0,7480,7591,7692,8473
A281310,바이오시네틱스,20181228,7300,7300,7300,7300,350,0,0,7510,7601,7719,8487
A281310,바이오시네틱스,20181227,7900,7900,7900,7900,1,0,0,7570,7611,7745,8501
A281310,바이오시네틱스,20181226,7450,7450,7450,7450,0,0,0,7510,7592,7762,8510
A281310,바이오시네틱스,20181224,7450,7450,7450,7450,0,0,0,7510,7606,7786,8520
A281310,바이오시네틱스,20181221,7450,7450,7450,7450,8,0,-8,7510,7620,7810,8534
A281310,바이오시네틱스,20181220,7600,7600,7600,7600,0,0,0,7510,7634,7841,8548
A281310,바이오시네틱스,20181219,7600,7600,7600,7600,100,0,-100,7480,7629,7870,8560
