stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A289080,SV인베스트먼트,20190129,3930,3940,3820,3850,187168,0,-44,3864,3767,3809,4413
A289080,SV인베스트먼트,20190128,3975,3975,3875,3930,251559,0,0,3861,3746,3800,4428
A289080,SV인베스트먼트,20190125,3845,3960,3790,3930,575821,0,-404,3852,3718,3789,4443
A289080,SV인베스트먼트,20190124,3820,3860,3740,3790,210329,0,-106,3841,3685,3776,4459
A289080,SV인베스트먼트,20190123,3820,3855,3785,3820,148411,0,0,3858,3666,3765,4476
A289080,SV인베스트먼트,20190122,3900,3940,3800,3835,177493,0,0,3889,3649,3760,4487
A289080,SV인베스트먼트,20190121,3875,3950,3860,3885,219094,0,0,3920,3635,3758,4498
A289080,SV인베스트먼트,20190118,3825,3895,3775,3875,267726,0,-40,3923,3620,3759,4508
A289080,SV인베스트먼트,20190117,3930,3995,3875,3875,226451,0,-97,3911,3607,3764,4518
A289080,SV인베스트먼트,20190116,4040,4040,3875,3975,408038,0,-115,3916,3592,3771,4533
A289080,SV인베스트먼트,20190115,3880,4020,3835,3990,826593,0,-23,3822,3578,3777,4547
A289080,SV인베스트먼트,20190114,3850,4035,3835,3900,1685228,0,21760,3724,3566,3784,4564
A289080,SV인베스트먼트,20190111,3785,3870,3750,3815,1005020,0,0,3642,3557,3791,4583
A289080,SV인베스트먼트,20190110,3510,4225,3460,3900,4732201,0,-69088,3573,3549,3799,4604
A289080,SV인베스트먼트,20190109,3530,3530,3450,3505,164227,0,16000,3487,3552,3804,4628
A289080,SV인베스트먼트,20190108,3520,3545,3440,3500,173480,0,0,3493,3588,3819,4656
A289080,SV인베스트먼트,20190107,3485,3550,3480,3490,225139,0,-20500,3479,3627,3833,4684
A289080,SV인베스트먼트,20190104,3470,3560,3445,3470,139251,0,0,3454,3658,3858,4716
A289080,SV인베스트먼트,20190103,3505,3520,3450,3470,159707,0,0,3414,3692,3886,4747
A289080,SV인베스트먼트,20190102,3450,3580,3435,3535,271016,0,-440,3404,3730,3916,4782
A289080,SV인베스트먼트,20181228,3370,3445,3370,3430,121750,0,0,3391,3762,3947,0
A289080,SV인베스트먼트,20181227,3305,3475,3305,3365,189599,0,-2999,3418,3806,3984,0
A289080,SV인베스트먼트,20181226,3350,3360,3200,3270,182647,0,3000,3463,3858,4025,0
A289080,SV인베스트먼트,20181224,3475,3475,3405,3420,143792,0,24270,3530,3908,4064,0
A289080,SV인베스트먼트,20181221,3540,3670,3440,3470,202536,0,0,3563,3948,4098,0
A289080,SV인베스트먼트,20181220,3590,3630,3535,3565,146995,0,0,3605,3997,4132,0
A289080,SV인베스트먼트,20181219,3620,3635,3570,3590,143452,0,0,3644,4056,4165,0
A289080,SV인베스트먼트,20181218,3580,3790,3550,3605,414469,0,0,3668,4085,4195,0
A289080,SV인베스트먼트,20181217,3710,3720,3540,3585,159385,0,22997,3679,4124,4224,0
A289080,SV인베스트먼트,20181214,3775,3775,3635,3680,193983,0,0,3753,4166,4250,0
A289080,SV인베스트먼트,20181213,3700,3835,3695,3760,180685,0,0,3865,4159,4276,0
A289080,SV인베스트먼트,20181212,3670,3780,3660,3710,273234,0,0,3967,4143,4301,0
A289080,SV인베스트먼트,20181211,3955,3990,3660,3660,482549,0,21821,4047,4132,4326,0
A289080,SV인베스트먼트,20181210,4250,4285,3935,3955,429212,0,0,4144,4120,4352,0
A289080,SV인베스트먼트,20181207,4325,4400,4190,4240,598298,0,0,4198,4098,4373,0
A289080,SV인베스트먼트,20181206,4065,4430,4060,4270,1805947,0,0,4187,4059,4391,0
