stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A289260,TIGER MSCI KOREA ESG리더스,20190129,8090,8160,8090,8160,21,0,0,8026,7812,7742,8034
A289260,TIGER MSCI KOREA ESG리더스,20190128,8150,8150,8150,8150,1,0,0,7972,7788,7732,8039
A289260,TIGER MSCI KOREA ESG리더스,20190125,8045,8045,8045,8045,1,0,0,7931,7762,7722,8043
A289260,TIGER MSCI KOREA ESG리더스,20190124,7915,7915,7915,7915,1,0,0,7912,7736,7713,8048
A289260,TIGER MSCI KOREA ESG리더스,20190123,7860,7860,7860,7860,1,0,0,7914,7720,7706,8054
A289260,TIGER MSCI KOREA ESG리더스,20190122,7910,7910,7870,7890,53,0,52,7928,7708,7702,8061
A289260,TIGER MSCI KOREA ESG리더스,20190121,7945,7945,7945,7945,26,0,0,7918,7692,7696,8068
A289260,TIGER MSCI KOREA ESG리더스,20190118,7945,7950,7920,7950,3,0,1,7867,7678,7695,8073
A289260,TIGER MSCI KOREA ESG리더스,20190117,7925,7925,7925,7925,76,0,0,7828,7660,7693,8078
A289260,TIGER MSCI KOREA ESG리더스,20190116,7845,7930,7845,7930,112,0,1,7793,7646,7694,8085
A289260,TIGER MSCI KOREA ESG리더스,20190115,7705,7840,7705,7840,53,0,1,7753,7633,7695,8091
A289260,TIGER MSCI KOREA ESG리더스,20190114,7745,7745,7690,7690,2,0,-1,7704,7628,7696,8098
A289260,TIGER MSCI KOREA ESG리더스,20190111,7755,7755,7755,7755,1,0,0,7688,7628,7703,8107
A289260,TIGER MSCI KOREA ESG리더스,20190110,7750,7750,7750,7750,1,0,0,7633,7618,7707,8115
A289260,TIGER MSCI KOREA ESG리더스,20190109,7595,7730,7595,7730,21,0,0,7578,7610,7711,8124
A289260,TIGER MSCI KOREA ESG리더스,20190108,7595,7595,7595,7595,1,0,0,7542,7608,7716,8132
A289260,TIGER MSCI KOREA ESG리더스,20190107,7655,7655,7575,7610,16,0,1,7557,7616,7722,8140
A289260,TIGER MSCI KOREA ESG리더스,20190104,7450,7480,7450,7480,21,0,0,7563,7627,7732,8149
A289260,TIGER MSCI KOREA ESG리더스,20190103,7475,7475,7475,7475,1,0,0,7569,7649,7747,8159
A289260,TIGER MSCI KOREA ESG리더스,20190102,7550,7550,7550,7550,0,0,0,7596,7674,7761,8168
A289260,TIGER MSCI KOREA ESG리더스,20181228,7670,7670,7670,7670,1,0,0,7608,7688,7775,8176
A289260,TIGER MSCI KOREA ESG리더스,20181227,7640,7640,7640,7640,2,0,1,7591,7699,7790,8182
A289260,TIGER MSCI KOREA ESG리더스,20181226,7510,7510,7510,7510,0,0,0,7592,7710,7807,8188
A289260,TIGER MSCI KOREA ESG리더스,20181224,7610,7610,7610,7610,0,0,0,7612,7722,7825,8197
A289260,TIGER MSCI KOREA ESG리더스,20181221,7610,7610,7610,7610,0,0,0,7619,7728,7842,8206
A289260,TIGER MSCI KOREA ESG리더스,20181220,7585,7585,7585,7585,27,0,0,7629,7730,7858,8214
A289260,TIGER MSCI KOREA ESG리더스,20181219,7645,7645,7645,7645,0,0,0,7660,7734,7873,8224
A289260,TIGER MSCI KOREA ESG리더스,20181218,7610,7610,7610,7610,0,0,0,7667,7731,7888,8233
A289260,TIGER MSCI KOREA ESG리더스,20181217,7640,7670,7640,7645,331,0,20,7659,7734,7903,8243
A289260,TIGER MSCI KOREA ESG리더스,20181214,7660,7660,7660,7660,0,0,0,7647,7741,7918,8252
A289260,TIGER MSCI KOREA ESG리더스,20181213,7740,7740,7740,7740,0,0,0,7653,7746,7933,8262
A289260,TIGER MSCI KOREA ESG리더스,20181212,7680,7680,7680,7680,0,0,0,7658,7745,7945,8270
A289260,TIGER MSCI KOREA ESG리더스,20181211,7570,7570,7570,7570,7,0,-7,7687,7742,7958,8280
A289260,TIGER MSCI KOREA ESG리더스,20181210,7585,7585,7585,7585,0,0,0,7755,7747,7973,8290
A289260,TIGER MSCI KOREA ESG리더스,20181207,7680,7690,7680,7690,2,0,-1,7834,7755,7988,8302
A289260,TIGER MSCI KOREA ESG리더스,20181206,7765,7765,7765,7765,10,0,-10,7860,7757,8001,8313
A289260,TIGER MSCI KOREA ESG리더스,20181205,7825,7825,7825,7825,13,0,0,7888,7756,8013,8325
A289260,TIGER MSCI KOREA ESG리더스,20181204,7910,7910,7910,7910,3,0,-3,7894,7752,8026,8336
A289260,TIGER MSCI KOREA ESG리더스,20181203,7980,7980,7980,7980,1,0,-1,7861,7744,8039,8346
A289260,TIGER MSCI KOREA ESG리더스,20181130,7820,7820,7820,7820,3,0,3,7810,7729,8050,8356
A289260,TIGER MSCI KOREA ESG리더스,20181129,7905,7905,7905,7905,0,0,0,7776,7726,8064,8366
A289260,TIGER MSCI KOREA ESG리더스,20181128,7840,7855,7840,7855,34,0,-26,7731,7709,8076,8375
A289260,TIGER MSCI KOREA ESG리더스,20181127,7775,7800,7745,7745,5,0,5,7675,7693,8090,8384
A289260,TIGER MSCI KOREA ESG리더스,20181126,7725,7725,7725,7725,2,0,2,7662,7681,8104,8393
A289260,TIGER MSCI KOREA ESG리더스,20181123,7650,7650,7650,7650,1,0,-1,7672,7670,8119,8403
