stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A290670,대보마그네틱,20190129,64000,64800,63100,64200,15262,6221,-3,64440,65555,0,0
A290670,대보마그네틱,20190128,65600,65900,64500,64700,12783,6046,-302,63940,65895,0,0
A290670,대보마그네틱,20190125,65000,65600,64100,65500,19289,6521,-3006,63540,66060,0,0
A290670,대보마그네틱,20190124,63600,64800,63000,64600,10672,7345,2025,63260,66185,0,0
A290670,대보마그네틱,20190123,62300,64700,61800,63200,19718,6952,-683,63020,66195,0,0
A290670,대보마그네틱,20190122,63300,64000,61600,61700,15232,6529,-35,63880,66215,0,0
A290670,대보마그네틱,20190121,64800,64800,62500,62700,16814,6484,236,65160,66105,0,0
A290670,대보마그네틱,20190118,64400,64400,63300,64100,12703,6561,66,66180,66070,0,0
A290670,대보마그네틱,20190117,67500,67500,63300,63400,34404,6591,-9609,67040,65665,0,0
A290670,대보마그네틱,20190116,68200,68200,66400,67500,17100,7690,-706,67900,65465,0,0
A290670,대보마그네틱,20190115,68500,68800,67300,68100,13402,7988,-31,68100,65195,0,0
A290670,대보마그네틱,20190114,69000,69000,66700,67800,15157,8188,1590,67580,64975,0,0
A290670,대보마그네틱,20190111,67800,70600,67500,68400,33528,9572,-4659,67240,64770,0,0
A290670,대보마그네틱,20190110,68600,70500,67500,67700,39825,8512,-2100,66400,64435,0,0
A290670,대보마그네틱,20190109,66000,69000,65600,68500,33056,8791,1612,66260,64175,0,0
A290670,대보마그네틱,20190108,66300,67000,65300,65500,16949,6563,0,65800,63985,0,0
A290670,대보마그네틱,20190107,65300,67200,64800,66100,31683,5871,-1448,66900,64065,0,0
A290670,대보마그네틱,20190104,67000,67000,63000,64200,46868,4833,-12663,67280,64340,0,0
A290670,대보마그네틱,20190103,66600,68900,63800,67000,35062,6636,1574,68040,64825,0,0
A290670,대보마그네틱,20190102,73200,73300,64800,66200,53994,3560,-7915,67600,65180,0,0
A290670,대보마그네틱,20181228,68100,71300,67000,71000,33716,5614,9709,67080,65495,0,0
A290670,대보마그네틱,20181227,70200,72900,67000,68000,69839,4421,734,64780,65395,0,0
A290670,대보마그네틱,20181226,63000,69200,62300,68000,67592,7262,10773,63580,65640,0,0
A290670,대보마그네틱,20181224,63400,66500,63400,64800,32378,4934,84,61180,65830,0,0
A290670,대보마그네틱,20181221,59200,65900,59200,63600,79717,8013,21045,60100,65795,0,0
A290670,대보마그네틱,20181220,60500,61900,59200,59500,31461,4711,592,59800,65835,0,0
A290670,대보마그네틱,20181219,56600,64500,56400,62000,99097,3498,1270,60640,65910,0,0
A290670,대보마그네틱,20181218,58400,59000,55200,56000,59065,2369,-3373,60980,66000,0,0
A290670,대보마그네틱,20181217,61300,62000,59200,59400,27903,2613,764,62120,66505,0,0
A290670,대보마그네틱,20181214,63100,64300,61500,62100,21241,2913,1066,62740,67225,0,0
A290670,대보마그네틱,20181213,64800,64800,62000,63700,24664,2613,655,63260,67655,0,0
A290670,대보마그네틱,20181212,62600,65200,62600,63700,46540,2460,-9012,63940,68115,0,0
A290670,대보마그네틱,20181211,63100,64300,61200,61700,26843,2440,763,65520,68805,0,0
A290670,대보마그네틱,20181210,63900,66000,62400,62500,36947,2650,-7358,67960,69995,0,0
A290670,대보마그네틱,20181207,68500,68700,64100,64700,48766,2656,-13458,70280,71220,0,0
A290670,대보마그네틱,20181206,70300,71000,65000,67100,81866,2690,-17684,71840,72355,0,0
A290670,대보마그네틱,20181205,72800,73100,71100,71600,29517,2652,1,72220,72365,0,0
A290670,대보마그네틱,20181204,74000,78400,73500,73900,68506,3322,-7098,72480,71845,0,0
A290670,대보마그네틱,20181203,76300,86000,73500,74100,316911,2741,-4316,72060,71075,0,0
A290670,대보마그네틱,20181130,68900,72700,67100,72500,43247,4929,6289,70060,0,0,0
A290670,대보마그네틱,20181129,72000,73800,68800,69000,43781,4046,108,68440,0,0,0
A290670,대보마그네틱,20181128,71600,74600,68600,72900,81866,6254,7323,66840,0,0,0
A290670,대보마그네틱,20181127,65500,75200,65400,71800,274690,5305,-409,65020,0,0,0
A290670,대보마그네틱,20181126,63500,67000,62500,64100,72772,3230,5194,63880,0,0,0
A290670,대보마그네틱,20181123,60600,70000,60600,64400,229461,4702,7441,65820,0,0,0
A290670,대보마그네틱,20181122,64200,64200,60400,61000,44853,4107,-1336,67080,0,0,0
A290670,대보마그네틱,20181121,64700,65300,61400,63800,73880,3818,-9425,69460,0,0,0
A290670,대보마그네틱,20181120,71600,72100,66100,66100,63452,4579,1402,72200,0,0,0
A290670,대보마그네틱,20181119,70700,74500,69500,73800,85169,3398,11452,76080,0,0,0
A290670,대보마그네틱,20181116,73500,75300,69000,70700,95861,3371,-10042,78720,0,0,0
A290670,대보마그네틱,20181115,77900,78500,69900,72900,134090,3299,8,82060,0,0,0
A290670,대보마그네틱,20181114,83400,84700,76500,77500,171949,4619,1840,80940,0,0,0
A290670,대보마그네틱,20181113,84700,88000,81000,85500,216247,4115,-4630,77680,0,0,0
A290670,대보마그네틱,20181112,93000,96700,82600,87000,431041,4216,-16391,72280,0,0,0
A290670,대보마그네틱,20181109,66000,87400,65000,87400,643337,6017,4217,0,0,0,0
A290670,대보마그네틱,20181108,63500,68800,61000,67300,368327,5630,20416,0,0,0,0
A290670,대보마그네틱,20181107,57600,62400,56000,61200,320061,8153,27627,0,0,0,0
A290670,대보마그네틱,20181106,60200,69300,56300,58500,1448409,4609,-3922,0,0,0,0
