stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A291610,KOSEF 코스닥150선물,20190129,7325,7355,7255,7335,522,0,-408,7261,7159,7238,7676
A291610,KOSEF 코스닥150선물,20190128,7300,7400,7300,7350,336,0,33,7218,7156,7232,7683
A291610,KOSEF 코스닥150선물,20190125,7215,7335,7215,7295,262,0,168,7172,7152,7226,7687
A291610,KOSEF 코스닥150선물,20190124,7100,7230,7100,7220,936,0,830,7149,7152,7223,7690
A291610,KOSEF 코스닥150선물,20190123,7095,7125,7080,7105,162,0,-58,7116,7152,7219,7696
A291610,KOSEF 코스닥150선물,20190122,7140,7150,7080,7120,1495098,0,-151,7128,7159,7221,7701
A291610,KOSEF 코스닥150선물,20190121,7185,7185,7100,7120,377,0,212,7141,7162,7226,7705
A291610,KOSEF 코스닥150선물,20190118,7095,7180,7080,7180,156,0,50,7138,7166,7232,7711
A291610,KOSEF 코스닥150선물,20190117,7165,7190,7055,7055,235,0,-133,7143,7158,7241,7716
A291610,KOSEF 코스닥150선물,20190116,7185,7185,7110,7165,2233,0,1871,7173,7156,7257,7725
A291610,KOSEF 코스닥150선물,20190115,7125,7210,7115,7185,2442,0,-1670,7173,7151,7270,7734
A291610,KOSEF 코스닥150선물,20190114,7190,7190,7095,7105,163,0,-61,7149,7156,7279,7745
A291610,KOSEF 코스닥150선물,20190111,7210,7235,7175,7205,233,0,128,7155,7165,7292,7756
A291610,KOSEF 코스닥150선물,20190110,7155,7245,7120,7205,352,0,-39,7129,7157,7303,7768
A291610,KOSEF 코스닥150선물,20190109,7100,7190,7090,7165,302,0,206,7080,7154,7311,7781
A291610,KOSEF 코스닥150선물,20190108,7140,7145,7030,7065,290,0,166,7073,7162,7323,7792
A291610,KOSEF 코스닥150선물,20190107,7150,7205,7075,7135,403,0,138,7116,7168,7332,7804
A291610,KOSEF 코스닥150선물,20190104,6960,7075,6875,7075,4222,0,67,7143,7184,7346,7816
A291610,KOSEF 코스닥150선물,20190103,7165,7180,6960,6960,243,0,-141,7186,7208,7363,7829
A291610,KOSEF 코스닥150선물,20190102,7310,7345,7125,7130,834,0,-699,7240,7241,7383,7843
A291610,KOSEF 코스닥150선물,20181228,7300,7305,7190,7280,301,0,-119,7263,7252,7403,7854
A291610,KOSEF 코스닥150선물,20181227,7400,7425,7245,7270,561,0,366,7240,7256,7422,7864
A291610,KOSEF 코스닥150선물,20181226,7145,7290,7100,7290,560,0,-97,7229,7264,7446,7873
A291610,KOSEF 코스닥150선물,20181224,7245,7280,7190,7230,246,0,60,7172,7273,7470,7881
A291610,KOSEF 코스닥150선물,20181221,7140,7260,7140,7245,5786,0,65,7133,7282,7498,7893
A291610,KOSEF 코스닥150선물,20181220,7125,7285,7100,7165,554,0,294,7096,7282,7523,7903
A291610,KOSEF 코스닥150선물,20181219,7055,7245,7000,7215,671,0,262,7119,7292,7549,7916
A291610,KOSEF 코스닥150선물,20181218,6945,7085,6935,7005,179,0,72,7132,7300,7576,7928
A291610,KOSEF 코스닥150선물,20181217,7060,7095,6900,7035,3511,0,2775,7140,7313,7607,7943
A291610,KOSEF 코스닥150선물,20181214,7225,7225,7040,7060,3322,0,-3216,7165,7336,7636,7957
A291610,KOSEF 코스닥150선물,20181213,7285,7295,7200,7280,211,0,-93,7217,7348,7666,7970
A291610,KOSEF 코스닥150선물,20181212,7110,7290,7110,7280,321,0,218,7198,7343,7690,7983
A291610,KOSEF 코스닥150선물,20181211,7210,7210,7045,7045,290,0,-173,7233,7329,7713,7992
A291610,KOSEF 코스닥150선물,20181210,7185,7265,7125,7160,1260,0,838,7334,7327,7739,8007
A291610,KOSEF 코스닥150선물,20181207,7290,7350,7220,7320,850,0,-418,7425,7318,7761,8022
A291610,KOSEF 코스닥150선물,20181206,7410,7410,7185,7185,616,0,-33,7434,7314,7780,8036
A291610,KOSEF 코스닥150선물,20181205,7390,7485,7390,7455,253,0,-134,7465,7324,7802,8053
A291610,KOSEF 코스닥150선물,20181204,7565,7605,7485,7550,360,0,-156,7464,7315,7820,8067
A291610,KOSEF 코스닥150선물,20181203,7475,7615,7475,7615,70262,0,259,7446,7309,7838,8080
A291610,KOSEF 코스닥150선물,20181130,7365,7405,7315,7365,200,0,-30,7407,7300,7854,8093
A291610,KOSEF 코스닥150선물,20181129,7565,7575,7340,7340,3258,0,2988,7382,7302,7873,8108
A291610,KOSEF 코스닥150선물,20181128,7475,7490,7420,7450,308,0,-205,7385,7286,7890,8122
A291610,KOSEF 코스닥150선물,20181127,7370,7500,7370,7460,150,0,-11,7369,7262,7905,8137
A291610,KOSEF 코스닥150선물,20181126,7275,7450,7275,7420,244,0,126,7333,7245,7918,8152
A291610,KOSEF 코스닥150선물,20181123,7315,7395,7230,7240,326,0,-201,7345,7224,7933,8166
A291610,KOSEF 코스닥150선물,20181122,7320,7400,7290,7355,131,0,4,7357,7220,7950,8181
A291610,KOSEF 코스닥150선물,20181121,7165,7370,7090,7370,562,0,-43,7324,7224,7963,8197
A291610,KOSEF 코스닥150선물,20181120,7355,7395,7275,7280,2300387,0,-27,7251,7231,7975,8212
A291610,KOSEF 코스닥150선물,20181119,7345,7480,7305,7480,5883,0,10,7194,7253,7989,8228
A291610,KOSEF 코스닥150선물,20181116,7170,7330,7170,7300,1487,0,-794,7093,7278,7995,8240
A291610,KOSEF 코스닥150선물,20181115,7025,7190,6965,7190,14411,0,8090,7081,7310,8005,8255
A291610,KOSEF 코스닥150선물,20181114,6965,7120,6900,7005,19524,0,-5990,7120,7338,8014,8270
A291610,KOSEF 코스닥150선물,20181113,6870,7030,6765,6995,858,0,-159,7177,7383,8027,8286
A291610,KOSEF 코스닥150선물,20181112,7095,7145,6975,6975,1150790,0,411,7262,7425,8038,8301
A291610,KOSEF 코스닥150선물,20181109,7360,7360,7165,7240,2467,0,1721,7354,7461,8055,8316
A291610,KOSEF 코스닥150선물,20181108,7435,7445,7340,7385,13587,0,-4617,7389,7494,8069,8328
A291610,KOSEF 코스닥150선물,20181107,7405,7490,7280,7290,478,0,-276,7313,7506,8078,8341
A291610,KOSEF 코스닥150선물,20181106,7450,7450,7290,7420,417,0,0,7253,7538,8089,8354
A291610,KOSEF 코스닥150선물,20181105,7375,7460,7300,7435,367,0,-63,7192,7572,8097,8366
