stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A292150,TIGER TOP10,20190129,8394,8454,8379,8454,4,100000,-1,8275,7933,7828,8228
A292150,TIGER TOP10,20190128,8459,8459,8389,8389,2048,100000,-1646,8192,7892,7818,8233
A292150,TIGER TOP10,20190125,8290,8374,8290,8374,2468,100000,-2466,8129,7855,7808,8239
A292150,TIGER TOP10,20190124,8115,8165,8115,8165,18,400000,-18,8071,7809,7798,8244
A292150,TIGER TOP10,20190123,7985,7995,7985,7995,35,400000,33,8044,7779,7791,8252
A292150,TIGER TOP10,20190122,8060,8080,8000,8035,316,700000,-246,8039,7758,7787,8260
A292150,TIGER TOP10,20190121,8150,8150,8075,8075,131,700000,-131,8013,7735,7784,8268
A292150,TIGER TOP10,20190118,8095,8095,8040,8085,97,700000,-85,7942,7714,7783,8275
A292150,TIGER TOP10,20190117,8030,8030,8030,8030,50,1200000,50,7904,7689,7782,8282
A292150,TIGER TOP10,20190116,7935,7990,7935,7970,12,1200000,8,7872,7667,7786,8291
A292150,TIGER TOP10,20190115,7790,7905,7790,7905,3,2400000,-2,7846,7645,7790,8301
A292150,TIGER TOP10,20190114,7810,7810,7720,7720,3,5290000,-2,7790,7636,7794,8311
A292150,TIGER TOP10,20190111,7895,7895,7895,7895,1,5290000,-1,7781,7637,7803,8322
A292150,TIGER TOP10,20190110,7870,7870,7870,7870,1,5290000,-1,7699,7621,7808,8333
A292150,TIGER TOP10,20190109,7660,7840,7660,7840,61,7200000,39,7612,7608,7814,8343
A292150,TIGER TOP10,20190108,7645,7645,7615,7625,47,7200000,-47,7572,7606,7822,8352
A292150,TIGER TOP10,20190107,7675,7675,7675,7675,1,9900000,-1,7575,7611,7832,8363
A292150,TIGER TOP10,20190104,7486,7486,7486,7486,10,1500000,0,7568,7619,7846,8373
A292150,TIGER TOP10,20190103,7436,7436,7436,7436,0,10100000,0,7563,7640,7864,8386
A292150,TIGER TOP10,20190102,7640,7640,7640,7640,10,100000,-10,7587,7670,7882,8398
A292150,TIGER TOP10,20181228,7650,7650,7620,7640,610,15500000,-4,7573,7680,7898,8408
A292150,TIGER TOP10,20181227,7640,7640,7640,7640,1,15500000,-1,7560,7694,7916,8419
A292150,TIGER TOP10,20181226,7461,7461,7461,7461,1,8100000,-1,7566,7705,7936,8429
A292150,TIGER TOP10,20181224,7555,7555,7555,7555,1,30000000,1,7588,7725,7960,8441
A292150,TIGER TOP10,20181221,7570,7570,7570,7570,20,22600000,-20,7598,7734,7984,8454
A292150,TIGER TOP10,20181220,7575,7575,7575,7575,8,14600000,-6,7589,7736,8007,8466
A292150,TIGER TOP10,20181219,7615,7680,7610,7670,5851,14600000,5,7620,7740,8031,8479
A292150,TIGER TOP10,20181218,7605,7605,7570,7570,5655,100000,-6,7633,7738,8052,8491
A292150,TIGER TOP10,20181217,7580,7605,7580,7605,17,100000,7,7635,7746,8072,8505
A292150,TIGER TOP10,20181214,7590,7590,7525,7525,7,100000,-7,7635,7759,8092,8518
A292150,TIGER TOP10,20181213,7740,7740,7730,7730,3,100000,-3,7691,7776,8114,8531
A292150,TIGER TOP10,20181212,7735,7735,7690,7735,8,100000,4,7690,7780,8129,8543
A292150,TIGER TOP10,20181211,7575,7580,7560,7580,28,9500000,-4,7709,7784,8145,8555
A292150,TIGER TOP10,20181210,7675,7675,7605,7605,28,8600000,-28,7773,7798,8163,8569
A292150,TIGER TOP10,20181207,7790,7805,7780,7805,4,8600000,-4,7858,7814,8182,8583
A292150,TIGER TOP10,20181206,7770,7770,7725,7725,15,7100000,-15,7867,7824,8198,8596
A292150,TIGER TOP10,20181205,7845,7855,7830,7830,8,100000,-8,7906,7846,8217,8611
A292150,TIGER TOP10,20181204,7920,7930,7900,7900,23,100000,-23,7912,7858,8235,8624
A292150,TIGER TOP10,20181203,7970,8030,7970,8030,5,100000,-5,7904,7863,8254,8637
A292150,TIGER TOP10,20181130,7935,7935,7850,7850,121,100000,-21,7845,7860,8269,8650
A292150,TIGER TOP10,20181129,8030,8030,7920,7920,14,100000,-14,7798,7872,8290,8663
A292150,TIGER TOP10,20181128,7860,7860,7860,7860,1,100000,1,7742,7868,8309,8676
A292150,TIGER TOP10,20181127,7860,7860,7860,7860,0,100000,0,7698,7864,8328,8688
A292150,TIGER TOP10,20181126,7735,7735,7735,7735,1,100000,-1,7670,7861,8347,8700
A292150,TIGER TOP10,20181123,7625,7625,7615,7615,18,100000,-18,7698,7862,8369,8713
A292150,TIGER TOP10,20181122,7640,7640,7640,7640,0,100000,0,7747,7868,8391,8729
A292150,TIGER TOP10,20181121,7605,7650,7605,7640,10,100000,-10,7780,7876,8411,8745
A292150,TIGER TOP10,20181120,7740,7740,7710,7720,3,100000,-3,7817,7897,8431,8762
A292150,TIGER TOP10,20181119,7840,7875,7840,7875,9,100000,-4,7845,7913,8450,8778
A292150,TIGER TOP10,20181116,7860,7860,7860,7860,0,100000,0,7856,7931,8463,8792
A292150,TIGER TOP10,20181115,7805,7805,7805,7805,4,100000,-4,7885,7949,8477,8806
A292150,TIGER TOP10,20181114,7825,7825,7825,7825,0,100000,0,7954,7966,8491,8820
A292150,TIGER TOP10,20181113,7860,7860,7860,7860,0,100000,0,8004,7989,8506,8833
A292150,TIGER TOP10,20181112,7905,7950,7905,7930,28,100000,16,8032,8005,8520,8846
A292150,TIGER TOP10,20181109,8070,8070,8005,8005,10,100000,2,8042,8020,8535,8859
A292150,TIGER TOP10,20181108,8160,8160,8150,8150,6,100000,-6,8058,8036,8551,8872
A292150,TIGER TOP10,20181107,8040,8075,8025,8075,3,100000,-3,7997,8039,8565,8883
A292150,TIGER TOP10,20181106,8000,8005,8000,8000,13,100000,-13,7939,8061,8581,8895
A292150,TIGER TOP10,20181105,7995,7995,7980,7980,95,100000,95,7897,8089,8596,8907
A292150,TIGER TOP10,20181102,7950,8085,7950,8085,3,100000,-2,7850,8117,8613,8920
A292150,TIGER TOP10,20181101,7845,7850,7845,7845,4,100000,-4,7784,8140,8627,8932
A292150,TIGER TOP10,20181031,7785,7785,7785,7785,10,100000,0,7775,8185,8648,8947
A292150,TIGER TOP10,20181030,7790,7790,7790,7790,330,100000,0,7829,8239,8669,8962
A292150,TIGER TOP10,20181029,7790,7800,7745,7745,493,100000,313,7878,8294,8690,8978
A292150,TIGER TOP10,20181026,7755,7755,7720,7755,28,100000,-8,7977,8357,8712,8995
A292150,TIGER TOP10,20181025,7740,7800,7705,7800,66,100000,-16,8070,8417,8732,9010
A292150,TIGER TOP10,20181024,8055,8055,8055,8055,9,100000,9,8137,8478,8752,9024
A292150,TIGER TOP10,20181023,8065,8065,8035,8035,102,100000,-102,8183,8520,8767,9037
A292150,TIGER TOP10,20181022,8240,8240,8240,8240,0,100000,0,8214,8558,8783,9050
A292150,TIGER TOP10,20181019,8220,8220,8220,8220,0,100000,0,8209,8586,8796,9061
A292150,TIGER TOP10,20181018,8140,8150,8130,8135,241,100000,-201,8232,8616,8812,9074
A292150,TIGER TOP10,20181017,8290,8290,8285,8285,2,100000,0,8246,8643,8828,9087
A292150,TIGER TOP10,20181016,8190,8190,8190,8190,1,100000,-1,8295,8662,8842,9097
A292150,TIGER TOP10,20181015,8215,8215,8215,8215,50,100000,0,8366,8686,8857,9108
A292150,TIGER TOP10,20181012,8339,8389,8320,8334,200,100000,0,8433,8712,8872,9119
A292150,TIGER TOP10,20181011,8260,8260,8205,8205,104,100000,-96,8476,8734,8882,9128
A292150,TIGER TOP10,20181010,8529,8529,8529,8529,0,100000,0,8581,8767,8894,9139
A292150,TIGER TOP10,20181008,8549,8549,8549,8549,0,100000,0,8651,8785,8901,9146
A292150,TIGER TOP10,20181005,8549,8549,8549,8549,0,100000,0,8718,8810,8907,9153
A292150,TIGER TOP10,20181004,8689,8689,8549,8549,495,100000,191,8808,8831,8913,9160
A292150,TIGER TOP10,20181002,8789,8789,8729,8729,64,100000,-64,8890,8857,8918,9168
A292150,TIGER TOP10,20181001,8864,8904,8864,8879,412,100000,-412,8948,8873,8922,9173
A292150,TIGER TOP10,20180928,9004,9004,8879,8884,159,100000,-9,8950,8880,8922,9178
A292150,TIGER TOP10,20180927,8939,9004,8939,8999,55,100000,5,8934,8886,8923,9183
A292150,TIGER TOP10,20180921,8939,8984,8939,8959,2500951,100000,-18,8894,8888,8924,9188
A292150,TIGER TOP10,20180920,8909,9019,8909,9019,5,100000,-3,8865,8886,8925,0
A292150,TIGER TOP10,20180919,8879,8889,8879,8889,4,100000,-4,8798,8879,8927,0
A292150,TIGER TOP10,20180918,8804,8804,8804,8804,0,100000,0,8754,8876,8931,0
A292150,TIGER TOP10,20180917,8799,8799,8799,8799,2,100000,-2,8726,8878,8937,0
A292150,TIGER TOP10,20180914,8809,8814,8789,8814,7,100000,0,8714,8872,8943,0
