stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A292160,TIGER KRX300,20190129,13160,13255,13105,13220,141055,1967,8,13077,12644,12513,12949
A292160,TIGER KRX300,20190128,13180,13255,13140,13215,239628,1966,9372,12986,12601,12496,12954
A292160,TIGER KRX300,20190125,13020,13190,13020,13170,296207,11637,145,12911,12554,12479,12958
A292160,TIGER KRX300,20190124,12830,12960,12830,12950,259402,11523,-1,12842,12501,12463,12963
A292160,TIGER KRX300,20190123,12750,12840,12750,12830,252173,11527,-2,12805,12466,12448,12969
A292160,TIGER KRX300,20190122,12840,12840,12730,12765,180319,11527,-80,12786,12438,12437,12976
A292160,TIGER KRX300,20190121,12915,12915,12800,12840,227715,11531,13,12766,12411,12431,12983
A292160,TIGER KRX300,20190118,12785,12830,12780,12825,285956,11551,1091,12691,12386,12426,12990
A292160,TIGER KRX300,20190117,12735,12800,12735,12765,255723,11727,-2569,12640,12356,12422,12996
A292160,TIGER KRX300,20190116,12675,12735,12625,12735,326006,9189,-7704,12578,12335,12426,13004
A292160,TIGER KRX300,20190115,12465,12665,12465,12665,311240,1447,108,12533,12313,12429,13013
A292160,TIGER KRX300,20190114,12505,12510,12445,12465,313728,1403,110,12448,12304,12433,13022
A292160,TIGER KRX300,20190111,12525,12580,12515,12570,270518,1506,-102,12417,12304,12442,13033
A292160,TIGER KRX300,20190110,12510,12515,12455,12455,210801,2504,106,12329,12290,12447,13043
A292160,TIGER KRX300,20190109,12350,12510,12350,12510,286084,2606,240,12252,12280,12453,13055
A292160,TIGER KRX300,20190108,12310,12340,12240,12240,222117,1982,-82,12182,12278,12461,13065
A292160,TIGER KRX300,20190107,12290,12315,12285,12310,42060,2016,-2010,12204,12285,12469,13077
A292160,TIGER KRX300,20190104,12015,12130,12015,12130,94958,12,-146,12199,12298,12487,13090
A292160,TIGER KRX300,20190103,12160,12185,12040,12070,102127,0,-116,12192,12324,12508,13103
A292160,TIGER KRX300,20190102,12405,12405,12160,12160,192069,0,-69,12230,12361,12533,13117
A292160,TIGER KRX300,20181228,12340,12370,12335,12350,398045,0,2513,12249,12380,12556,13128
A292160,TIGER KRX300,20181227,12360,12360,12285,12285,2935117,0,-6,12225,12397,12580,13138
A292160,TIGER KRX300,20181226,12130,12145,12015,12095,40888,0,47,12238,12416,12608,13150
A292160,TIGER KRX300,20181224,12255,12295,12230,12260,27122,0,-66,12265,12442,12640,13163
