stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A292580,TIGER 일본엔선물인버스,20190129,9860,9860,9860,9860,700,0,700,9847,9785,10013,10011
A292580,TIGER 일본엔선물인버스,20190128,9880,9880,9880,9880,9,0,9,9826,9793,10015,10013
A292580,TIGER 일본엔선물인버스,20190125,9820,9870,9820,9870,23,0,23,9810,9798,10018,10014
A292580,TIGER 일본엔선물인버스,20190124,9805,9805,9805,9805,1,0,-1,9803,9800,10020,10015
A292580,TIGER 일본엔선물인버스,20190123,9800,9820,9800,9820,152,0,152,9807,9808,10022,10016
A292580,TIGER 일본엔선물인버스,20190122,9785,9785,9755,9755,4,0,-1,9794,9818,10024,10017
A292580,TIGER 일본엔선물인버스,20190121,9825,9825,9800,9800,2001,0,-1,9800,9833,10026,10018
A292580,TIGER 일본엔선물인버스,20190118,9825,9835,9825,9835,65,0,64,9786,9848,10030,10019
A292580,TIGER 일본엔선물인버스,20190117,9820,9825,9795,9825,755,0,753,9778,9859,10032,10019
A292580,TIGER 일본엔선물인버스,20190116,9770,9770,9755,9755,3,0,-3,9762,9876,10036,10020
A292580,TIGER 일본엔선물인버스,20190115,9765,9785,9755,9785,139,0,136,9771,9895,10039,10022
A292580,TIGER 일본엔선물인버스,20190114,9775,9775,9730,9730,303,0,-303,9772,9916,10042,10024
A292580,TIGER 일본엔선물인버스,20190111,9780,9795,9780,9795,15,0,8,9774,9938,10047,10027
A292580,TIGER 일본엔선물인버스,20190110,9775,9775,9720,9745,495,0,-493,9758,9954,10051,10028
A292580,TIGER 일본엔선물인버스,20190109,9820,9820,9800,9800,401,0,-39,9720,9970,10054,10031
A292580,TIGER 일본엔선물인버스,20190108,9775,9795,9765,9790,128,0,26,9729,9989,10058,10033
A292580,TIGER 일본엔선물인버스,20190107,9795,9795,9740,9740,3220,0,2500,9773,10008,10059,10034
A292580,TIGER 일본엔선물인버스,20190104,9645,9715,9635,9715,1479,0,1328,9822,10032,10064,10037
A292580,TIGER 일본엔선물인버스,20190103,9665,9680,9550,9555,5917,0,-4569,9860,10062,10071,10039
A292580,TIGER 일본엔선물인버스,20190102,9920,9920,9845,9845,4613,0,-315,9945,10098,10081,10042
A292580,TIGER 일본엔선물인버스,20181228,10010,10010,9990,10010,15002,0,0,9976,10116,10087,10043
A292580,TIGER 일본엔선물인버스,20181227,10005,10005,9985,9985,101,0,99,9988,10126,10091,10042
A292580,TIGER 일본엔선물인버스,20181226,9920,9925,9905,9905,114,0,-114,10008,10134,10097,10042
A292580,TIGER 일본엔선물인버스,20181224,9955,9980,9935,9980,5,0,-3,10041,10145,10104,10042
A292580,TIGER 일본엔선물인버스,20181221,10000,10000,10000,10000,1,0,-1,10075,10150,10108,10042
A292580,TIGER 일본엔선물인버스,20181220,10070,10070,10070,10070,1,0,-1,10105,10154,10111,10041
A292580,TIGER 일본엔선물인버스,20181219,10085,10085,10085,10085,1,0,-1,10129,10156,10111,10039
A292580,TIGER 일본엔선물인버스,20181218,10055,10070,10055,10070,2,0,0,10149,10155,10111,10037
A292580,TIGER 일본엔선물인버스,20181217,10150,10150,10150,10150,1,0,-1,10156,10155,10110,10035
A292580,TIGER 일본엔선물인버스,20181214,10150,10150,10150,10150,0,0,0,10139,10151,10107,10033
A292580,TIGER 일본엔선물인버스,20181213,10190,10190,10190,10190,0,0,0,10145,10152,10106,10032
A292580,TIGER 일본엔선물인버스,20181212,10185,10185,10185,10185,1,0,-1,10143,10148,10103,10030
A292580,TIGER 일본엔선물인버스,20181211,10105,10105,10105,10105,0,0,0,10151,10147,10099,10028
A292580,TIGER 일본엔선물인버스,20181210,10075,10085,10065,10065,5001,0,-1,10191,10145,10097,10027
A292580,TIGER 일본엔선물인버스,20181207,10180,10180,10180,10180,0,0,0,10233,10150,10094,10028
A292580,TIGER 일본엔선물인버스,20181206,10180,10180,10180,10180,0,0,0,10239,10151,10090,10028
A292580,TIGER 일본엔선물인버스,20181205,10225,10225,10220,10225,5000,0,0,10242,10154,10087,10029
A292580,TIGER 일본엔선물인버스,20181204,10305,10305,10305,10305,0,0,0,10226,10153,10083,10029
A292580,TIGER 일본엔선물인버스,20181203,10265,10305,10265,10275,22,0,10,10193,10146,10078,10029
A292580,TIGER 일본엔선물인버스,20181130,10210,10210,10210,10210,5,0,5,10154,10141,10075,10029
A292580,TIGER 일본엔선물인버스,20181129,10195,10195,10195,10195,0,0,0,10129,10138,10071,10030
A292580,TIGER 일본엔선물인버스,20181128,10145,10145,10145,10145,20,0,19,10110,10128,10070,10031
A292580,TIGER 일본엔선물인버스,20181127,10140,10140,10140,10140,1,0,-1,10093,10122,10070,10032
A292580,TIGER 일본엔선물인버스,20181126,10080,10080,10080,10080,3,0,-3,10080,10114,10069,10032
A292580,TIGER 일본엔선물인버스,20181123,10085,10085,10085,10085,1,0,-1,10079,10106,10068,10031
A292580,TIGER 일본엔선물인버스,20181122,10100,10100,10100,10100,1,0,-1,10095,10100,10067,10032
A292580,TIGER 일본엔선물인버스,20181121,10060,10060,10060,10060,1,0,-1,10099,10090,10064,10033
A292580,TIGER 일본엔선물인버스,20181120,10075,10075,10075,10075,2,0,-2,10119,10086,10062,10034
A292580,TIGER 일본엔선물인버스,20181119,10130,10130,10075,10075,27,0,-25,10117,10080,10059,10035
A292580,TIGER 일본엔선물인버스,20181116,10165,10165,10165,10165,1,0,-1,10136,10080,10056,10037
A292580,TIGER 일본엔선물인버스,20181115,10120,10120,10120,10120,2,0,-2,10142,10070,10052,10038
A292580,TIGER 일본엔선물인버스,20181114,10160,10160,10160,10160,1,0,-1,10166,10063,10046,10039
A292580,TIGER 일본엔선물인버스,20181113,10060,10065,10060,10065,2,0,-2,10175,10056,10042,10040
A292580,TIGER 일본엔선물인버스,20181112,10170,10170,10170,10170,1,0,-1,10195,10053,10037,10042
A292580,TIGER 일본엔선물인버스,20181109,10225,10225,10195,10195,4,0,-4,10194,10042,10031,10042
A292580,TIGER 일본엔선물인버스,20181108,10240,10240,10240,10240,0,0,0,10188,10033,10028,10043
A292580,TIGER 일본엔선물인버스,20181107,10185,10215,10185,10205,46,0,24,10135,10014,10023,10043
A292580,TIGER 일본엔선물인버스,20181106,10165,10165,10165,10165,0,0,0,10101,10006,10019,10044
A292580,TIGER 일본엔선물인버스,20181105,10165,10165,10165,10165,0,0,0,10065,10005,10015,10043
A292580,TIGER 일본엔선물인버스,20181102,10165,10165,10165,10165,1,0,-1,10015,10004,10012,10043
A292580,TIGER 일본엔선물인버스,20181101,9975,9975,9975,9975,1,0,-1,9974,10007,10010,10043
A292580,TIGER 일본엔선물인버스,20181031,10035,10035,10035,10035,1,0,-1,9961,10020,10010,10045
A292580,TIGER 일본엔선물인버스,20181030,9980,9985,9975,9985,7521,0,-1,9951,10035,10010,10047
A292580,TIGER 일본엔선물인버스,20181029,9930,9930,9915,9915,2,0,-2,9945,10052,10009,10049
A292580,TIGER 일본엔선물인버스,20181026,9960,9960,9960,9960,1,0,-1,9976,10068,10011,10051
A292580,TIGER 일본엔선물인버스,20181025,9895,9910,9895,9910,5001,0,0,9974,10079,10011,10052
A292580,TIGER 일본엔선물인버스,20181024,9985,9985,9985,9985,1,0,-1,9989,10087,10010,10054
A292580,TIGER 일본엔선물인버스,20181023,10010,10020,9955,9955,7002,0,-1,9995,10091,10008,10055
A292580,TIGER 일본엔선물인버스,20181022,9975,10070,9975,10070,6,0,5,10007,10095,10006,10056
A292580,TIGER 일본엔선물인버스,20181019,9945,9950,9945,9950,7,0,5,9981,10090,10004,10057
A292580,TIGER 일본엔선물인버스,20181018,10055,10055,9985,9985,3007,0,-7,9996,10096,10005,10058
A292580,TIGER 일본엔선물인버스,20181017,10010,10090,10010,10015,34,0,10,9973,10097,10006,10059
A292580,TIGER 일본엔선물인버스,20181016,9995,10020,9995,10015,8001,0,0,9977,10094,10006,10059
A292580,TIGER 일본엔선물인버스,20181015,9980,9980,9940,9940,5,0,-4,10002,10092,10006,0
A292580,TIGER 일본엔선물인버스,20181012,9930,10025,9930,10025,10009,0,10,10044,10091,10008,0
A292580,TIGER 일본엔선물인버스,20181011,9935,9935,9865,9870,15018,0,-29,10085,10086,10008,0
A292580,TIGER 일본엔선물인버스,20181010,10095,10095,10035,10035,10001,0,-1,10157,10092,10010,0
A292580,TIGER 일본엔선물인버스,20181008,10140,10140,10140,10140,1,0,-1,10218,10090,10009,0
A292580,TIGER 일본엔선물인버스,20181005,10165,10165,10150,10150,13,0,-13,10254,10084,10007,0
A292580,TIGER 일본엔선물인버스,20181004,10230,10230,10230,10230,1,0,-1,10270,10079,10003,0
A292580,TIGER 일본엔선물인버스,20181002,10285,10285,10225,10230,10025,0,17,10261,10068,9998,0
A292580,TIGER 일본엔선물인버스,20181001,10340,10340,10340,10340,20,0,-20,10229,10064,9994,0
A292580,TIGER 일본엔선물인버스,20180928,10260,10325,10260,10320,10003,0,1,10175,10052,9987,0
A292580,TIGER 일본엔선물인버스,20180927,10230,10230,10230,10230,1,0,-1,10117,10040,9981,0
A292580,TIGER 일본엔선물인버스,20180921,10155,10185,10155,10185,12001,0,1,10067,10030,9976,0
A292580,TIGER 일본엔선물인버스,20180920,10070,10070,10070,10070,0,0,0,10043,10022,9971,0
A292580,TIGER 일본엔선물인버스,20180919,10070,10070,10070,10070,0,0,0,10028,10016,9967,0
A292580,TIGER 일본엔선물인버스,20180918,10030,10030,10030,10030,0,0,0,10008,10007,9963,0
A292580,TIGER 일본엔선물인버스,20180917,10100,10100,9965,9980,12002,0,-2,9997,10000,9959,0
A292580,TIGER 일본엔선물인버스,20180914,10005,10090,10005,10065,15031,0,31,9983,9996,9959,0
A292580,TIGER 일본엔선물인버스,20180913,10000,10015,9995,9995,10000,0,0,9953,9989,9958,0
A292580,TIGER 일본엔선물인버스,20180912,9970,9970,9970,9970,1,0,-1,9952,9979,9958,0
A292580,TIGER 일본엔선물인버스,20180911,9925,9990,9925,9975,10031,0,-29,9957,9975,9957,0
A292580,TIGER 일본엔선물인버스,20180910,9910,9910,9910,9910,0,0,0,9970,9964,9958,0
A292580,TIGER 일본엔선물인버스,20180907,9935,9935,9890,9915,10003,0,-1,9996,9962,9961,0
A292580,TIGER 일본엔선물인버스,20180906,9990,9990,9990,9990,0,0,0,10015,9965,9966,0
A292580,TIGER 일본엔선물인버스,20180905,10000,10000,9995,9995,2850,0,0,10047,9964,9971,0
A292580,TIGER 일본엔선물인버스,20180904,10040,10040,10040,10040,1,0,1,10067,9961,9976,0
A292580,TIGER 일본엔선물인버스,20180903,10040,10040,10040,10040,0,0,0,10078,9957,9979,0
A292580,TIGER 일본엔선물인버스,20180831,10045,10050,10010,10010,12002,0,-2,10074,9954,9984,0
A292580,TIGER 일본엔선물인버스,20180830,10135,10155,10135,10150,2001,0,-1,10076,9953,9990,0
A292580,TIGER 일본엔선물인버스,20180829,10095,10095,10095,10095,21,0,-1,10035,9947,9992,0
A292580,TIGER 일본엔선물인버스,20180828,10075,10105,10075,10095,8001,0,1,9996,9942,9994,0
A292580,TIGER 일본엔선물인버스,20180827,10020,10020,10020,10020,0,0,0,9957,9936,9994,0
A292580,TIGER 일본엔선물인버스,20180824,10025,10035,10020,10020,8000,0,0,9933,9935,9995,0
A292580,TIGER 일본엔선물인버스,20180823,9945,9945,9945,9945,7,0,-7,9912,9931,9997,0
A292580,TIGER 일본엔선물인버스,20180822,9900,9900,9900,9900,0,0,0,9881,9929,10002,0
A292580,TIGER 일본엔선물인버스,20180821,9900,9900,9900,9900,0,0,0,9879,9926,10007,0
A292580,TIGER 일본엔선물인버스,20180820,9900,9900,9900,9900,1,0,-1,9852,9923,10011,0
A292580,TIGER 일본엔선물인버스,20180817,9890,9935,9890,9915,10201,0,201,9843,9925,10018,0
A292580,TIGER 일본엔선물인버스,20180816,9800,9800,9775,9790,21,0,-1,9856,9930,10024,0
A292580,TIGER 일본엔선물인버스,20180814,9875,9890,9875,9890,10000,0,0,9892,9943,10032,0
A292580,TIGER 일본엔선물인버스,20180813,9820,9820,9755,9765,20201,0,-201,9901,9950,10038,0
A292580,TIGER 일본엔선물인버스,20180810,9875,9875,9855,9855,10000,0,0,9941,9961,10047,0
A292580,TIGER 일본엔선물인버스,20180809,9980,9980,9980,9980,0,0,0,9964,9972,10054,0
A292580,TIGER 일본엔선물인버스,20180808,9970,9970,9970,9970,0,0,0,9969,9973,10058,0
A292580,TIGER 일본엔선물인버스,20180807,9935,9935,9935,9935,7000,0,0,9980,9974,10063,0
A292580,TIGER 일본엔선물인버스,20180806,9965,9965,9965,9965,0,0,0,9991,9977,10069,0
A292580,TIGER 일본엔선물인버스,20180803,9970,9970,9970,9970,0,0,0,9993,9979,10072,0
