stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A295040,SMART 200TR,20190129,9120,9160,9065,9160,78500,0,0,9052,8735,8642,8925
A295040,SMART 200TR,20190128,9145,9190,9115,9140,355003,0,0,8990,8702,8630,8928
A295040,SMART 200TR,20190125,9020,9140,9005,9140,240899,0,0,8939,8667,8618,8930
A295040,SMART 200TR,20190124,8900,8955,8880,8950,20453,0,53,8885,8628,8606,8933
A295040,SMART 200TR,20190123,8830,8900,8830,8870,5000,0,0,8860,8603,8595,8938
A295040,SMART 200TR,20190122,8880,8880,8815,8850,26627,0,0,8845,8582,8588,8942
A295040,SMART 200TR,20190121,8885,8900,8830,8885,171770,0,-2,8827,8562,8582,8947
A295040,SMART 200TR,20190118,8855,8880,8840,8870,158000,0,0,8768,8545,8579,8952
A295040,SMART 200TR,20190117,8800,8845,8780,8825,192501,0,1,8728,8526,8576,8956
A295040,SMART 200TR,20190116,8750,8800,8735,8795,1000,0,5,8685,8510,8578,8961
A295040,SMART 200TR,20190115,8620,8760,8620,8760,7273,0,1,8647,8494,8580,8966
A295040,SMART 200TR,20190114,8645,8650,8580,8590,502,0,-1,8584,8488,8582,8972
A295040,SMART 200TR,20190111,8650,8685,8620,8670,1001,0,0,8563,8489,8588,8979
A295040,SMART 200TR,20190110,8610,8630,8585,8610,500,0,0,8504,8479,8590,8986
A295040,SMART 200TR,20190109,8535,8630,8520,8605,1799,0,0,8441,8473,8594,8993
A295040,SMART 200TR,20190108,8495,8515,8435,8445,1148,0,0,8396,8472,8600,9000
A295040,SMART 200TR,20190107,8500,8550,8465,8485,12213,0,100,8407,8476,8606,9008
A295040,SMART 200TR,20190104,8275,8375,8275,8375,15304,0,-21,8399,8485,8618,9016
A295040,SMART 200TR,20190103,8375,8395,8295,8295,40055,0,-1,8393,8503,8633,9025
A295040,SMART 200TR,20190102,8530,8540,8370,8380,30001,0,-1,8425,8529,8650,9034
A295040,SMART 200TR,20181228,8515,8530,8490,8500,10100,0,0,8439,8544,8666,9041
A295040,SMART 200TR,20181227,8480,8495,8440,8445,3000,0,0,8429,8556,8682,9048
A295040,SMART 200TR,20181226,8375,8385,8280,8345,1995560,0,0,8449,8571,8701,9056
