stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A295820,ARIRANG 200동일가중,20190129,9020,9035,8980,9020,3194,0,-3099,9029,8861,8664,8875
A295820,ARIRANG 200동일가중,20190128,9085,9095,9045,9065,97,0,-1,9006,8850,8647,8878
A295820,ARIRANG 200동일가중,20190125,8955,9085,8955,9075,98,0,1,8984,8832,8631,8880
A295820,ARIRANG 200동일가중,20190124,8965,9010,8950,8990,95,0,-1,8958,8808,8614,8882
A295820,ARIRANG 200동일가중,20190123,8915,9015,8915,8995,102,0,34,8929,8795,8598,8884
A295820,ARIRANG 200동일가중,20190122,8965,8965,8885,8905,2222,0,-61,8903,8784,8584,8886
A295820,ARIRANG 200동일가중,20190121,9010,9010,8945,8955,107,0,-4,8901,8778,8575,8888
A295820,ARIRANG 200동일가중,20190118,8930,8945,8905,8945,97,0,6,8872,8771,8567,8889
A295820,ARIRANG 200동일가중,20190117,8865,8885,8830,8845,122,0,-36,8848,8761,8559,8890
A295820,ARIRANG 200동일가중,20190116,8865,8895,8855,8865,95,0,0,8838,8758,8556,8892
A295820,ARIRANG 200동일가중,20190115,8865,8950,8865,8895,94,0,10,8838,8753,8553,8894
A295820,ARIRANG 200동일가중,20190114,8835,8860,8780,8810,4993,0,-208,8803,8746,8548,8896
A295820,ARIRANG 200동일가중,20190111,8775,8835,8770,8825,122,0,6,8791,8738,8547,8900
A295820,ARIRANG 200동일가중,20190110,8830,8830,8775,8795,170,0,0,8765,8724,8544,8904
A295820,ARIRANG 200동일가중,20190109,8795,8890,8795,8865,89,0,10,8718,8711,8540,8908
A295820,ARIRANG 200동일가중,20190108,8800,8800,8705,8720,100,0,-26,8674,8698,8536,8911
A295820,ARIRANG 200동일가중,20190107,8770,8805,8725,8750,187,0,1,8689,8692,8534,8915
A295820,ARIRANG 200동일가중,20190104,8580,8705,8570,8695,95,0,0,8683,8690,8538,8920
A295820,ARIRANG 200동일가중,20190103,8640,8645,8560,8560,100,0,0,8660,8691,8546,8925
A295820,ARIRANG 200동일가중,20190102,8755,8785,8590,8645,147,0,-1,8695,8703,8558,8932
A295820,ARIRANG 200동일가중,20181228,8800,8815,8780,8795,146,0,1,8722,8706,8569,8936
A295820,ARIRANG 200동일가중,20181227,8675,8800,8635,8720,5318,0,3,8721,8700,8579,8939
A295820,ARIRANG 200동일가중,20181226,8630,8640,8510,8580,100,0,0,8738,8696,8592,8943
A295820,ARIRANG 200동일가중,20181224,8750,8780,8730,8735,100,0,0,8771,8698,8608,8949
A295820,ARIRANG 200동일가중,20181221,8815,8815,8745,8780,498,0,401,8781,8692,8621,8955
A295820,ARIRANG 200동일가중,20181220,8795,8830,8700,8790,128,0,-28,8777,8676,8632,8961
A295820,ARIRANG 200동일가중,20181219,8740,8805,8740,8805,102,0,-21,8771,8662,8642,8967
A295820,ARIRANG 200동일가중,20181218,8755,8805,8715,8745,101,0,-1,8742,8654,8652,8974
A295820,ARIRANG 200동일가중,20181217,8810,8830,8770,8785,100,0,0,8702,8645,8664,8982
A295820,ARIRANG 200동일가중,20181214,8810,8820,8710,8760,5581,0,-1,8650,8633,8676,8988
A295820,ARIRANG 200동일가중,20181213,8680,8770,8675,8760,204,0,0,8621,8617,8689,8995
A295820,ARIRANG 200동일가중,20181212,8560,8665,8555,8660,100,0,0,8586,8599,8701,9002
A295820,ARIRANG 200동일가중,20181211,8525,8575,8495,8545,11099,0,0,8597,8580,8714,9010
A295820,ARIRANG 200동일가중,20181210,8485,8555,8485,8525,63,0,2,8631,8566,8728,9021
A295820,ARIRANG 200동일가중,20181207,8675,8675,8575,8615,76,0,0,8686,8554,8742,9033
