stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A298340,ARIRANG 국채선물3년,20190129,51360,51360,51360,51360,0,0,0,51366,51344,51199,50962
A298340,ARIRANG 국채선물3년,20190128,51360,51360,51360,51360,10,0,10,51365,51342,51192,50954
A298340,ARIRANG 국채선물3년,20190125,51370,51370,51370,51370,0,0,0,51364,51338,51186,50946
A298340,ARIRANG 국채선물3년,20190124,51370,51370,51370,51370,0,0,0,51362,51333,51180,50937
A298340,ARIRANG 국채선물3년,20190123,51370,51370,51370,51370,0,0,0,51360,51327,51174,50928
A298340,ARIRANG 국채선물3년,20190122,51350,51355,51350,51355,39,0,39,51358,51322,51167,50920
A298340,ARIRANG 국채선물3년,20190121,51355,51355,51355,51355,0,0,0,51359,51320,51159,50912
A298340,ARIRANG 국채선물3년,20190118,51360,51360,51360,51360,0,0,0,51358,51319,51151,50904
A298340,ARIRANG 국채선물3년,20190117,51360,51360,51360,51360,0,0,0,51355,51315,51143,50897
A298340,ARIRANG 국채선물3년,20190116,51360,51360,51360,51360,0,0,0,51353,51310,51134,50889
A298340,ARIRANG 국채선물3년,20190115,51360,51360,51360,51360,0,0,0,51342,51305,51126,50881
A298340,ARIRANG 국채선물3년,20190114,51350,51350,51350,51350,0,0,0,51334,51300,51118,50873
A298340,ARIRANG 국채선물3년,20190111,51345,51345,51345,51345,0,0,0,51328,51296,51109,50864
A298340,ARIRANG 국채선물3년,20190110,51350,51350,51350,51350,60,0,-60,51316,51292,51099,50856
A298340,ARIRANG 국채선물3년,20190109,51305,51305,51305,51305,20,0,-20,51312,51288,51089,50848
A298340,ARIRANG 국채선물3년,20190108,51320,51320,51320,51320,0,0,0,51312,51285,51079,50840
A298340,ARIRANG 국채선물3년,20190107,51320,51320,51320,51320,0,0,0,51308,51280,51070,50833
A298340,ARIRANG 국채선물3년,20190104,51290,51290,51285,51285,2000,0,0,51301,51270,51060,50825
A298340,ARIRANG 국채선물3년,20190103,51330,51330,51330,51330,0,0,0,51299,51261,51049,50817
A298340,ARIRANG 국채선물3년,20190102,51305,51305,51305,51305,0,0,0,51283,51249,51038,50809
