stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A300280,KBSTAR 중소형모멘텀로우볼,20190129,8810,8825,8770,8825,40,0,0,8837,8763,8808,9231
A300280,KBSTAR 중소형모멘텀로우볼,20190128,8815,8870,8815,8870,5,0,0,8831,8765,8804,9239
A300280,KBSTAR 중소형모멘텀로우볼,20190125,8790,8850,8790,8850,5,0,0,8818,8763,8799,9246
A300280,KBSTAR 중소형모멘텀로우볼,20190124,8790,8830,8785,8830,5,0,0,8812,8755,8794,9254
A300280,KBSTAR 중소형모멘텀로우볼,20190123,8765,8815,8765,8810,5,0,0,8792,8752,8790,9262
A300280,KBSTAR 중소형모멘텀로우볼,20190122,8790,8795,8735,8795,7005,0,0,8784,8750,8790,9270
A300280,KBSTAR 중소형모멘텀로우볼,20190121,8815,8815,8800,8805,5,0,0,8788,8747,8792,9277
A300280,KBSTAR 중소형모멘텀로우볼,20190118,8765,8820,8765,8820,5,0,0,8773,8746,8795,9285
A300280,KBSTAR 중소형모멘텀로우볼,20190117,8835,8835,8725,8730,10,0,-5,8765,8742,8802,9291
A300280,KBSTAR 중소형모멘텀로우볼,20190116,8780,8810,8770,8770,45,0,0,8779,8744,8814,9299
A300280,KBSTAR 중소형모멘텀로우볼,20190115,8750,8815,8750,8815,33402,0,-10,8782,8746,8824,9307
A300280,KBSTAR 중소형모멘텀로우볼,20190114,8780,8780,8680,8730,43502,0,0,8760,8751,8831,9315
A300280,KBSTAR 중소형모멘텀로우볼,20190111,8800,8800,8710,8780,13002,0,-1,8760,8758,8843,0
A300280,KBSTAR 중소형모멘텀로우볼,20190110,8775,8800,8715,8800,13089,0,0,8724,8755,8851,0
A300280,KBSTAR 중소형모멘텀로우볼,20190109,8740,8785,8740,8785,26083,0,1,8672,8751,8860,0
A300280,KBSTAR 중소형모멘텀로우볼,20190108,8750,8750,8705,8705,5,0,0,8650,8754,8869,0
A300280,KBSTAR 중소형모멘텀로우볼,20190107,8710,8760,8685,8730,5,0,0,8682,8759,8878,0
A300280,KBSTAR 중소형모멘텀로우볼,20190104,8550,8600,8465,8600,5,0,0,8700,8770,8892,0
A300280,KBSTAR 중소형모멘텀로우볼,20190103,8710,8710,8540,8540,5,0,0,8719,8792,8911,0
A300280,KBSTAR 중소형모멘텀로우볼,20190102,8835,8845,8630,8675,338,0,129,8763,8817,8933,0
A300280,KBSTAR 중소형모멘텀로우볼,20181228,8855,8865,8855,8865,15,0,0,8782,8833,8955,0
A300280,KBSTAR 중소형모멘텀로우볼,20181227,8825,8855,8820,8820,5,0,0,8758,8838,8974,0
A300280,KBSTAR 중소형모멘텀로우볼,20181226,8660,8695,8540,8695,50005,0,0,8752,8846,8997,0
A300280,KBSTAR 중소형모멘텀로우볼,20181224,8755,8765,8755,8760,5,0,0,8758,8858,9021,0
A300280,KBSTAR 중소형모멘텀로우볼,20181221,8735,8770,8735,8770,5,0,0,8760,8866,9044,0
A300280,KBSTAR 중소형모멘텀로우볼,20181220,8735,8790,8725,8745,27,0,-22,8771,8866,9065,0
A300280,KBSTAR 중소형모멘텀로우볼,20181219,8725,8790,8700,8790,40,0,0,8804,8871,9086,0
A300280,KBSTAR 중소형모멘텀로우볼,20181218,8700,8740,8695,8725,30,0,-25,8819,8875,9107,0
A300280,KBSTAR 중소형모멘텀로우볼,20181217,8825,8825,8735,8770,5,0,0,8820,8881,9128,0
A300280,KBSTAR 중소형모멘텀로우볼,20181214,8905,8905,8795,8825,26,0,-21,8808,8892,9149,0
A300280,KBSTAR 중소형모멘텀로우볼,20181213,8885,8910,8860,8910,67,0,-62,8815,8896,9171,0
A300280,KBSTAR 중소형모멘텀로우볼,20181212,8790,8865,8790,8865,6,0,1,8793,8894,9191,0
A300280,KBSTAR 중소형모멘텀로우볼,20181211,8715,8730,8710,8730,5,0,1,8811,8886,9211,0
A300280,KBSTAR 중소형모멘텀로우볼,20181210,8750,8765,8700,8710,5,0,0,8872,8885,9232,0
A300280,KBSTAR 중소형모멘텀로우볼,20181207,8895,8895,8800,8860,5,0,0,8938,8890,9254,0
A300280,KBSTAR 중소형모멘텀로우볼,20181206,8910,8910,8750,8800,9040,0,0,8964,8884,9271,0
A300280,KBSTAR 중소형모멘텀로우볼,20181205,8920,8995,8920,8955,5,0,0,8997,8881,9289,0
A300280,KBSTAR 중소형모멘텀로우볼,20181204,9035,9065,9030,9035,5,0,0,9002,8864,9304,0
A300280,KBSTAR 중소형모멘텀로우볼,20181203,9040,9050,8995,9040,8,0,-3,8981,8850,9320,0
A300280,KBSTAR 중소형모멘텀로우볼,20181130,9000,9000,8950,8990,15,0,0,8956,8834,9334,0
A300280,KBSTAR 중소형모멘텀로우볼,20181129,9070,9070,8965,8965,5,0,0,8913,8827,9351,0
A300280,KBSTAR 중소형모멘텀로우볼,20181128,8960,8980,8940,8980,6,0,-1,8889,8808,9366,0
A300280,KBSTAR 중소형모멘텀로우볼,20181127,8890,8940,8855,8930,46,0,6,8867,8788,9382,0
A300280,KBSTAR 중소형모멘텀로우볼,20181126,8835,8915,8835,8915,5,0,0,8851,8770,9398,0
A300280,KBSTAR 중소형모멘텀로우볼,20181123,8870,8870,8775,8775,5,0,0,8864,8754,9414,0
A300280,KBSTAR 중소형모멘텀로우볼,20181122,8860,8860,8815,8845,5,0,0,8891,8754,9432,0
A300280,KBSTAR 중소형모멘텀로우볼,20181121,8755,8870,8755,8870,5,0,0,8898,8757,9448,0
A300280,KBSTAR 중소형모멘텀로우볼,20181120,8885,8920,8835,8850,11,0,-6,8862,8765,9461,0
A300280,KBSTAR 중소형모멘텀로우볼,20181119,8930,8980,8905,8980,54016,0,0,8837,8783,9477,0
A300280,KBSTAR 중소형모멘텀로우볼,20181116,8895,8910,8850,8910,5,0,0,8800,8806,9488,0
A300280,KBSTAR 중소형모멘텀로우볼,20181115,8785,8895,8735,8880,20019,0,17,8770,8829,9500,0
A300280,KBSTAR 중소형모멘텀로우볼,20181114,8710,8710,8660,8690,40,0,0,8741,8849,9513,0
A300280,KBSTAR 중소형모멘텀로우볼,20181113,8675,8725,8520,8725,8,0,-3,8725,8884,9529,0
A300280,KBSTAR 중소형모멘텀로우볼,20181112,8735,8800,8735,8795,5,0,0,8733,8914,9542,0
A300280,KBSTAR 중소형모멘텀로우볼,20181109,8750,8760,8720,8760,5,0,0,8716,8938,9557,0
