stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A302170,TIGER 국채선물3년인버스,20190129,49785,49785,49785,49785,5,0,0,49770,49748,49766,49822
A302170,TIGER 국채선물3년인버스,20190128,49775,49775,49775,49775,5,0,0,49767,49745,49766,49825
A302170,TIGER 국채선물3년인버스,20190125,49770,49770,49770,49770,3,0,0,49767,49742,49766,49827
A302170,TIGER 국채선물3년인버스,20190124,49755,49755,49755,49755,5,0,0,49765,49740,49766,49830
A302170,TIGER 국채선물3년인버스,20190123,49765,49765,49765,49765,3,0,0,49761,49739,49766,49832
A302170,TIGER 국채선물3년인버스,20190122,49770,49770,49770,49770,3,0,0,49755,49737,49768,49834
A302170,TIGER 국채선물3년인버스,20190121,49775,49775,49775,49775,0,0,0,49745,49731,49769,49836
A302170,TIGER 국채선물3년인버스,20190118,49760,49760,49760,49760,3,0,0,49735,49725,49771,49838
A302170,TIGER 국채선물3년인버스,20190117,49735,49735,49735,49735,0,0,0,49729,49722,49773,49840
A302170,TIGER 국채선물3년인버스,20190116,49735,49735,49735,49735,5,0,0,49731,49720,49776,49842
A302170,TIGER 국채선물3년인버스,20190115,49720,49720,49720,49720,3,0,0,49734,49717,49779,0
A302170,TIGER 국채선물3년인버스,20190114,49725,49725,49725,49725,2,0,0,49738,49715,49782,0
A302170,TIGER 국채선물3년인버스,20190111,49730,49730,49730,49730,5,0,0,49740,49713,49785,0
A302170,TIGER 국채선물3년인버스,20190110,49745,49745,49745,49745,3,0,0,49744,49711,49790,0
A302170,TIGER 국채선물3년인버스,20190109,49750,49750,49750,49750,4,0,0,49736,49707,49794,0
A302170,TIGER 국채선물3년인버스,20190108,49740,49740,49740,49740,3,0,0,49731,49703,49798,0
A302170,TIGER 국채선물3년인버스,20190107,49735,49735,49735,49735,0,0,0,49731,49701,49801,0
A302170,TIGER 국채선물3년인버스,20190104,49750,49750,49750,49750,1000,0,0,49726,49703,49806,0
A302170,TIGER 국채선물3년인버스,20190103,49705,49705,49705,49705,3,0,0,49721,49705,49812,0
A302170,TIGER 국채선물3년인버스,20190102,49725,49725,49725,49725,3,0,0,49729,49709,49817,0
A302170,TIGER 국채선물3년인버스,20181228,49740,49740,49740,49740,100,0,0,49729,49712,49822,0
A302170,TIGER 국채선물3년인버스,20181227,49710,49710,49710,49710,2,0,0,49711,49713,49825,0
A302170,TIGER 국채선물3년인버스,20181226,49725,49725,49725,49725,3,0,0,49700,49718,49829,0
A302170,TIGER 국채선물3년인버스,20181224,49745,49745,49745,49745,5,0,0,49693,49721,49833,0
A302170,TIGER 국채선물3년인버스,20181221,49725,49725,49725,49725,0,0,0,49682,49723,49836,0
A302170,TIGER 국채선물3년인버스,20181220,49650,49650,49650,49650,1,0,1,49674,49728,49840,0
A302170,TIGER 국채선물3년인버스,20181219,49655,49655,49655,49655,2,0,0,49681,49737,49846,0
A302170,TIGER 국채선물3년인버스,20181218,49690,49690,49690,49690,3,0,0,49687,49746,49849,0
A302170,TIGER 국채선물3년인버스,20181217,49690,49690,49690,49690,3,0,0,49687,49754,49852,0
A302170,TIGER 국채선물3년인버스,20181214,49685,49685,49685,49685,4,0,0,49682,49761,49854,0
A302170,TIGER 국채선물3년인버스,20181213,49685,49685,49685,49685,4,0,0,49678,49770,49857,0
A302170,TIGER 국채선물3년인버스,20181212,49685,49685,49685,49685,5,0,0,49681,49778,49858,0
A302170,TIGER 국채선물3년인버스,20181211,49690,49690,49690,49690,1,0,-1,49700,49784,49858,0
A302170,TIGER 국채선물3년인버스,20181210,49665,49665,49665,49665,0,0,0,49718,49791,49859,0
A302170,TIGER 국채선물3년인버스,20181207,49665,49665,49665,49665,5,0,0,49742,49800,49860,0
A302170,TIGER 국채선물3년인버스,20181206,49700,49700,49700,49700,1,0,-1,49765,49810,49861,0
A302170,TIGER 국채선물3년인버스,20181205,49780,49780,49780,49780,0,0,0,49779,49818,49861,0
A302170,TIGER 국채선물3년인버스,20181204,49780,49780,49780,49780,4,0,0,49783,49824,49860,0
A302170,TIGER 국채선물3년인버스,20181203,49785,49785,49785,49785,2,0,2,49785,49828,49859,0
A302170,TIGER 국채선물3년인버스,20181130,49745,49780,49735,49780,6005,0,0,49787,49833,49859,0
A302170,TIGER 국채선물3년인버스,20181129,49770,49770,49770,49770,5,0,0,49793,49838,49858,0
A302170,TIGER 국채선물3년인버스,20181128,49800,49800,49800,49800,0,0,0,49807,49840,49859,0
A302170,TIGER 국채선물3년인버스,20181127,49790,49790,49790,49790,5,0,0,49815,49840,49859,0
A302170,TIGER 국채선물3년인버스,20181126,49795,49795,49795,49795,6549,0,0,49825,49839,49859,0
A302170,TIGER 국채선물3년인버스,20181123,49810,49810,49810,49810,0,0,0,49834,49836,49859,0
A302170,TIGER 국채선물3년인버스,20181122,49840,49840,49840,49840,0,0,0,49843,49838,49859,0
A302170,TIGER 국채선물3년인버스,20181121,49840,49840,49840,49840,0,0,0,49843,49839,49858,0
A302170,TIGER 국채선물3년인버스,20181120,49840,49840,49840,49840,0,0,0,49836,49842,49858,0
A302170,TIGER 국채선물3년인버스,20181119,49840,49840,49840,49840,2,0,-2,49836,49844,49856,0
A302170,TIGER 국채선물3년인버스,20181116,49855,49860,49850,49855,184803,0,0,49836,49848,49856,0
A302170,TIGER 국채선물3년인버스,20181115,49840,49840,49840,49840,0,0,0,49838,49850,49857,0
A302170,TIGER 국채선물3년인버스,20181114,49805,49805,49805,49805,0,0,0,49845,49853,49859,0
A302170,TIGER 국채선물3년인버스,20181113,49840,49840,49840,49840,0,0,0,49860,49860,49862,0
A302170,TIGER 국채선물3년인버스,20181112,49840,49840,49840,49840,0,0,0,49868,49867,49863,0
A302170,TIGER 국채선물3년인버스,20181109,49865,49865,49865,49865,0,0,0,49876,49874,49865,0
A302170,TIGER 국채선물3년인버스,20181108,49875,49875,49875,49875,0,0,0,49879,49881,49866,0
A302170,TIGER 국채선물3년인버스,20181107,49880,49880,49880,49880,0,0,0,49865,49884,49869,0
A302170,TIGER 국채선물3년인버스,20181106,49880,49880,49880,49880,0,0,0,49848,49892,49871,0
A302170,TIGER 국채선물3년인버스,20181105,49880,49880,49880,49880,0,0,0,49826,49902,49874,0
A302170,TIGER 국채선물3년인버스,20181102,49880,49880,49880,49880,0,0,0,49800,49910,49876,0
A302170,TIGER 국채선물3년인버스,20181101,49805,49805,49805,49805,0,0,0,49792,49916,49879,0
A302170,TIGER 국채선물3년인버스,20181031,49795,49795,49795,49795,0,0,0,49803,49923,49884,0
A302170,TIGER 국채선물3년인버스,20181030,49770,49770,49770,49770,0,0,0,49823,49931,49888,0
A302170,TIGER 국채선물3년인버스,20181029,49750,49750,49750,49750,0,0,0,49848,49939,49893,0
A302170,TIGER 국채선물3년인버스,20181026,49840,49840,49840,49840,0,0,0,49880,49949,49897,0
A302170,TIGER 국채선물3년인버스,20181025,49860,49860,49860,49860,0,0,0,49891,49955,49900,0
A302170,TIGER 국채선물3년인버스,20181024,49895,49895,49895,49895,0,0,0,49898,49960,49902,0
A302170,TIGER 국채선물3년인버스,20181023,49895,49895,49895,49895,0,0,0,49907,49960,49904,0
A302170,TIGER 국채선물3년인버스,20181022,49910,49910,49910,49910,0,0,0,49926,49958,49906,0
A302170,TIGER 국채선물3년인버스,20181019,49895,49895,49895,49895,0,0,0,49942,49954,49908,0
A302170,TIGER 국채선물3년인버스,20181018,49890,49915,49890,49895,3000,0,0,49961,49950,0,0
A302170,TIGER 국채선물3년인버스,20181017,49940,49940,49940,49940,0,0,0,49972,49942,0,0
A302170,TIGER 국채선물3년인버스,20181016,49990,49990,49990,49990,0,0,0,49991,49931,0,0
A302170,TIGER 국채선물3년인버스,20181015,49990,49990,49990,49990,0,0,0,50006,49918,0,0
A302170,TIGER 국채선물3년인버스,20181012,49990,49990,49990,49990,0,0,0,50018,49906,0,0
A302170,TIGER 국채선물3년인버스,20181011,49950,49950,49950,49950,0,0,0,50022,49892,0,0
A302170,TIGER 국채선물3년인버스,20181010,50035,50035,50035,50035,0,0,0,50020,49880,0,0
A302170,TIGER 국채선물3년인버스,20181008,50065,50065,50065,50065,0,0,0,50002,49864,0,0
A302170,TIGER 국채선물3년인버스,20181005,50050,50050,50050,50050,0,0,0,49977,49848,0,0
A302170,TIGER 국채선물3년인버스,20181004,50010,50010,50010,50010,0,0,0,49956,49832,0,0
A302170,TIGER 국채선물3년인버스,20181002,49940,49940,49940,49940,0,0,0,49947,49819,0,0
A302170,TIGER 국채선물3년인버스,20181001,49945,49945,49945,49945,0,0,0,49952,49813,0,0
A302170,TIGER 국채선물3년인버스,20180928,49940,49940,49940,49940,0,0,0,49939,49806,0,0
A302170,TIGER 국채선물3년인버스,20180927,49945,49945,49945,49945,0,0,0,49925,49799,0,0
A302170,TIGER 국채선물3년인버스,20180921,49965,49965,49965,49965,0,0,0,49901,49792,0,0
A302170,TIGER 국채선물3년인버스,20180920,49965,49965,49965,49965,0,0,0,49870,49784,0,0
A302170,TIGER 국채선물3년인버스,20180919,49880,49880,49880,49880,0,0,0,49825,49776,0,0
A302170,TIGER 국채선물3년인버스,20180918,49870,49870,49870,49870,0,0,0,49792,49772,0,0
A302170,TIGER 국채선물3년인버스,20180917,49825,49825,49825,49825,0,0,0,49766,49765,0,0
A302170,TIGER 국채선물3년인버스,20180914,49810,49810,49810,49810,0,0,0,49747,49766,0,0
A302170,TIGER 국채선물3년인버스,20180913,49740,49740,49740,49740,0,0,0,49730,49770,0,0
A302170,TIGER 국채선물3년인버스,20180912,49715,49715,49715,49715,0,0,0,49722,49781,0,0
A302170,TIGER 국채선물3년인버스,20180911,49740,49740,49740,49740,0,0,0,49724,49794,0,0
A302170,TIGER 국채선물3년인버스,20180910,49730,49730,49730,49730,0,0,0,49724,49804,0,0
A302170,TIGER 국채선물3년인버스,20180907,49725,49725,49725,49725,0,0,0,49726,49815,0,0
A302170,TIGER 국채선물3년인버스,20180906,49700,49700,49700,49700,1,0,-1,49729,49826,0,0
A302170,TIGER 국채선물3년인버스,20180905,49725,49725,49725,49725,0,0,0,49753,49842,0,0
A302170,TIGER 국채선물3년인버스,20180904,49740,49740,49740,49740,0,0,0,49768,49856,0,0
A302170,TIGER 국채선물3년인버스,20180903,49740,49740,49740,49740,0,0,0,49781,49871,0,0
A302170,TIGER 국채선물3년인버스,20180831,49740,49740,49740,49740,0,0,0,49794,49886,0,0
A302170,TIGER 국채선물3년인버스,20180830,49820,49820,49820,49820,0,0,0,49807,49902,0,0
A302170,TIGER 국채선물3년인버스,20180829,49800,49800,49800,49800,0,0,0,49804,49914,0,0
A302170,TIGER 국채선물3년인버스,20180828,49805,49805,49805,49805,0,0,0,49804,49927,0,0
A302170,TIGER 국채선물3년인버스,20180827,49805,49805,49805,49805,0,0,0,49789,49940,0,0
A302170,TIGER 국채선물3년인버스,20180824,49805,49805,49805,49805,0,0,0,49799,49951,0,0
A302170,TIGER 국채선물3년인버스,20180823,49805,49805,49805,49805,0,0,0,49816,49960,0,0
A302170,TIGER 국채선물3년인버스,20180822,49800,49800,49800,49800,0,0,0,49846,49971,0,0
A302170,TIGER 국채선물3년인버스,20180821,49730,49730,49730,49730,1000,0,0,49880,49981,0,0
A302170,TIGER 국채선물3년인버스,20180820,49855,49855,49855,49855,0,0,0,49924,49995,0,0
A302170,TIGER 국채선물3년인버스,20180817,49890,49890,49890,49890,0,0,0,49940,50002,0,0
A302170,TIGER 국채선물3년인버스,20180816,49955,49955,49955,49955,0,0,0,49954,0,0,0
A302170,TIGER 국채선물3년인버스,20180814,49970,49970,49970,49970,0,0,0,49965,0,0,0
A302170,TIGER 국채선물3년인버스,20180813,49950,49950,49950,49950,0,0,0,49974,0,0,0
A302170,TIGER 국채선물3년인버스,20180810,49935,49935,49935,49935,0,0,0,49990,0,0,0
A302170,TIGER 국채선물3년인버스,20180809,49970,49970,49960,49960,4000,0,0,50012,0,0,0
A302170,TIGER 국채선물3년인버스,20180808,50010,50010,50010,50010,2000,0,0,50032,0,0,0
A302170,TIGER 국채선물3년인버스,20180807,50015,50015,50015,50015,0,0,0,50042,0,0,0
A302170,TIGER 국채선물3년인버스,20180806,50030,50030,50030,50030,0,0,0,50049,0,0,0
A302170,TIGER 국채선물3년인버스,20180803,50045,50055,50045,50045,3000,0,0,50057,0,0,0
A302170,TIGER 국채선물3년인버스,20180802,50060,50060,50060,50060,0,0,0,50052,0,0,0
A302170,TIGER 국채선물3년인버스,20180801,50060,50060,50060,50060,100,0,0,50040,0,0,0
A302170,TIGER 국채선물3년인버스,20180731,50050,50050,50050,50050,0,0,0,50030,0,0,0
A302170,TIGER 국채선물3년인버스,20180730,50070,50070,50070,50070,0,0,0,50022,0,0,0
A302170,TIGER 국채선물3년인버스,20180727,50005,50020,50005,50020,4000,0,0,50008,0,0,0
A302170,TIGER 국채선물3년인버스,20180726,50000,50000,50000,50000,1,0,-1,50005,0,0,0
A302170,TIGER 국채선물3년인버스,20180725,50010,50010,50010,50010,100,0,0,0,0,0,0
A302170,TIGER 국채선물3년인버스,20180724,50010,50010,50010,50010,100,0,0,0,0,0,0
A302170,TIGER 국채선물3년인버스,20180723,50000,50000,50000,50000,100,0,0,0,0,0,0
A302170,TIGER 국채선물3년인버스,20180720,50005,50005,50005,50005,100,0,0,0,0,0,0
