stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A302190,TIGER 중장기국채,20190129,51830,51830,51810,51810,9,0,5,51866,51876,51606,51112
A302190,TIGER 중장기국채,20190128,51830,51830,51830,51830,5,0,0,51873,51881,51594,51096
A302190,TIGER 중장기국채,20190125,51920,51920,51900,51900,2,0,-1,51868,51886,51582,51080
A302190,TIGER 중장기국채,20190124,51930,51930,51920,51920,920,0,-1,51858,51886,51570,51064
A302190,TIGER 중장기국채,20190123,51870,51870,51870,51870,14,0,14,51856,51879,51558,51048
A302190,TIGER 중장기국채,20190122,51790,51845,51780,51845,30,0,26,51866,51878,51545,51033
A302190,TIGER 중장기국채,20190121,51805,51805,51805,51805,10,0,10,51879,51887,51531,51017
A302190,TIGER 중장기국채,20190118,51855,51865,51845,51850,285,0,282,51899,51895,51515,51002
A302190,TIGER 중장기국채,20190117,51930,51930,51910,51910,40101,0,-1,51905,51893,51499,50987
A302190,TIGER 중장기국채,20190116,51920,51920,51920,51920,3,0,0,51901,51888,51480,50971
A302190,TIGER 중장기국채,20190115,51910,51910,51910,51910,50,0,50,51868,51879,51462,0
A302190,TIGER 중장기국채,20190114,51865,51905,51855,51905,38,0,-38,51847,51870,51443,0
A302190,TIGER 중장기국채,20190111,51880,51880,51880,51880,11,0,-11,51845,51862,51424,0
A302190,TIGER 중장기국채,20190110,51900,51910,51890,51890,37,0,19,51853,51858,51404,0
A302190,TIGER 중장기국채,20190109,51775,51775,51755,51755,51,0,49,51865,51854,51383,0
A302190,TIGER 중장기국채,20190108,51890,51890,51805,51805,27,0,-27,51904,51856,51364,0
A302190,TIGER 중장기국채,20190107,51820,51895,51820,51895,252,0,148,51925,51853,51345,0
A302190,TIGER 중장기국채,20190104,51965,51980,51920,51920,108,0,-8,51930,51838,51322,0
A302190,TIGER 중장기국채,20190103,51995,51995,51950,51950,213,0,185,51926,51817,51298,0
A302190,TIGER 중장기국채,20190102,51885,51950,51885,51950,196,0,-94,51893,51790,51272,0
A302190,TIGER 중장기국채,20181228,51875,51915,51875,51910,169,0,41,51875,51768,51248,0
A302190,TIGER 중장기국채,20181227,51895,51920,51875,51920,241,0,-233,51897,51746,51226,0
A302190,TIGER 중장기국채,20181226,51860,51960,51860,51900,394,0,-293,51905,51718,51204,0
A302190,TIGER 중장기국채,20181224,51820,51820,51785,51785,11,0,-11,51888,51691,51184,0
A302190,TIGER 중장기국채,20181221,51950,51950,51840,51860,71,0,-37,51891,51668,51165,0
A302190,TIGER 중장기국채,20181220,51980,52020,51930,52020,19,0,-17,51870,51640,51142,0
A302190,TIGER 중장기국채,20181219,51950,51960,51950,51960,8,0,6,51811,51599,51117,0
A302190,TIGER 중장기국채,20181218,51775,51875,51775,51815,363,0,-340,51766,51561,51095,0
A302190,TIGER 중장기국채,20181217,51760,51800,51760,51800,202,0,0,51763,51530,51078,0
