stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A302450,KBSTAR 코스피,20190129,22050,22135,21955,22135,10449,0,6,21964,21264,20967,21686
A302450,KBSTAR 코스피,20190128,22165,22255,22095,22100,11374,0,46,21848,21196,20935,21693
A302450,KBSTAR 코스피,20190125,21875,22155,21875,22155,121,0,0,21751,21123,20906,21700
A302450,KBSTAR 코스피,20190124,21675,21805,21670,21805,212,0,201,21638,21031,20873,21706
A302450,KBSTAR 코스피,20190123,21385,21630,21385,21625,232008,0,3,21566,20969,20844,21716
A302450,KBSTAR 코스피,20190122,21660,21660,21470,21555,656,0,0,21510,20917,20822,21726
A302450,KBSTAR 코스피,20190121,21645,21645,21565,21615,11,0,-2,21462,20868,20807,21736
A302450,KBSTAR 코스피,20190118,21560,21590,21490,21590,46,0,-39,21338,20825,20797,21746
A302450,KBSTAR 코스피,20190117,21510,21510,21415,21445,39,0,29,21245,20777,20788,0
A302450,KBSTAR 코스피,20190116,21365,21365,21235,21345,73,0,-26,21154,20742,20792,0
A302450,KBSTAR 코스피,20190115,21060,21320,21055,21315,50027,0,23,21081,20710,20796,0
A302450,KBSTAR 코스피,20190114,21085,21085,20925,20995,43805,0,0,20943,20694,20799,0
A302450,KBSTAR 코스피,20190111,21060,21125,21030,21125,16410,0,10,20890,20687,20812,0
A302450,KBSTAR 코스피,20190110,21060,21060,20930,20990,76240,0,6,20757,20659,20817,0
A302450,KBSTAR 코스피,20190109,20740,20980,20740,20980,8,0,2,20618,20637,20825,0
A302450,KBSTAR 코스피,20190108,20765,20785,20625,20625,874,0,-5,20499,20629,20837,0
A302450,KBSTAR 코스피,20190107,20725,20835,20680,20730,31,0,-19,20531,20630,20849,0
A302450,KBSTAR 코스피,20190104,20325,20460,20215,20460,47,0,-42,20512,20647,20875,0
A302450,KBSTAR 코스피,20190103,20415,20445,20295,20295,5,0,0,20483,20683,20910,0
A302450,KBSTAR 코스피,20190102,20795,20800,20385,20385,30544,0,-7,20538,20737,20951,0
A302450,KBSTAR 코스피,20181228,20735,20810,20735,20785,15,0,0,20578,20768,20991,0
A302450,KBSTAR 코스피,20181227,20605,20695,20605,20635,5,0,1,20537,20788,21031,0
A302450,KBSTAR 코스피,20181226,20390,20400,20235,20315,16224,0,-27,20559,20810,21077,0
A302450,KBSTAR 코스피,20181224,20530,20595,20530,20570,5,0,0,20623,20842,21130,0
A302450,KBSTAR 코스피,20181221,20560,20590,20560,20585,5,0,0,20657,20854,21179,0
A302450,KBSTAR 코스피,20181220,20620,20725,20520,20580,11,0,-4,20683,20854,21225,0
A302450,KBSTAR 코스피,20181219,20630,20745,20585,20745,40,0,0,20764,20862,21268,0
A302450,KBSTAR 코스피,20181218,20600,20720,20600,20635,5,0,0,20787,20864,21307,0
A302450,KBSTAR 코스피,20181217,20750,20765,20660,20740,6,0,1,20772,20872,21347,0
A302450,KBSTAR 코스피,20181214,20970,20970,20640,20715,6,0,-1,20736,20888,21385,0
A302450,KBSTAR 코스피,20181213,20935,21035,20920,20985,5,0,0,20757,20900,21426,0
A302450,KBSTAR 코스피,20181212,20645,20860,20645,20860,17237,0,1,20690,20896,21458,0
A302450,KBSTAR 코스피,20181211,20620,20620,20560,20560,5,0,0,20729,20883,21491,0
A302450,KBSTAR 코스피,20181210,20550,20595,20520,20560,229,0,-224,20855,20892,21528,0
A302450,KBSTAR 코스피,20181207,20870,20870,20705,20820,50,0,-4,21017,20905,21567,0
A302450,KBSTAR 코스피,20181206,20885,20885,20640,20650,47,0,-15,21055,20910,21600,0
A302450,KBSTAR 코스피,20181205,20805,21090,20805,21055,8,0,1,21160,20929,21635,0
A302450,KBSTAR 코스피,20181204,21300,21300,21095,21190,55,0,48,21163,20916,21666,0
A302450,KBSTAR 코스피,20181203,21205,21385,21165,21370,4386,0,81,21116,20901,21699,0
A302450,KBSTAR 코스피,20181130,21165,21205,21010,21010,120,0,-97,21008,20869,21727,0
A302450,KBSTAR 코스피,20181129,21320,21390,21175,21175,48,0,-1,20922,20868,21764,0
A302450,KBSTAR 코스피,20181128,20985,21070,20985,21070,8,0,4,20833,20822,21796,0
A302450,KBSTAR 코스피,20181127,20865,20990,20780,20955,45,0,2,20775,20786,21830,0
A302450,KBSTAR 코스피,20181126,20710,20840,20700,20830,13,0,-4,20747,20747,21862,0
A302450,KBSTAR 코스피,20181123,20665,20785,20560,20580,10,0,0,20791,20707,21898,0
A302450,KBSTAR 코스피,20181122,20760,20785,20660,20730,2035,0,-1,20865,20694,21937,0
A302450,KBSTAR 코스피,20181121,20600,20780,20490,20780,4278,0,8,20901,20692,21972,0
A302450,KBSTAR 코스피,20181120,20790,20900,20790,20815,45,0,-29,20865,20704,22005,0
A302450,KBSTAR 코스피,20181119,20840,21055,20840,21050,1404827,0,-1,20851,20715,22036,0
A302450,KBSTAR 코스피,20181116,20925,21005,20910,20950,8,0,1,20805,20746,22059,0
A302450,KBSTAR 코스피,20181115,20765,20910,20675,20910,17,0,7,20796,20778,22085,0
A302450,KBSTAR 코스피,20181114,20710,20785,20600,20600,42,0,-5,20821,20807,22109,0
A302450,KBSTAR 코스피,20181113,20565,20745,20485,20745,7,0,2,20863,20864,22143,0
A302450,KBSTAR 코스피,20181112,20745,20885,20745,20820,13,0,-8,20890,20900,22171,0
A302450,KBSTAR 코스피,20181109,21020,21020,20905,20905,5,0,0,20871,20934,22204,0
A302450,KBSTAR 코스피,20181108,21205,21205,21035,21035,23,0,5,20891,20971,22239,0
A302450,KBSTAR 코스피,20181107,20955,21100,20810,20810,16,0,-11,20732,20987,22272,0
A302450,KBSTAR 코스피,20181106,20860,20930,20840,20880,65,0,-60,20639,21063,22308,0
A302450,KBSTAR 코스피,20181105,20795,20800,20565,20725,786,0,-107,20500,21147,22341,0
A302450,KBSTAR 코스피,20181102,20570,21005,20570,21005,276,0,265,20361,21248,22377,0
A302450,KBSTAR 코스피,20181101,20415,20515,20220,20240,67,0,17,20226,21338,22404,0
A302450,KBSTAR 코스피,20181031,20225,20345,20090,20345,13934,0,-30,20314,21482,22451,0
A302450,KBSTAR 코스피,20181030,19890,20335,19890,20185,1317680,0,-364,20449,21636,22495,0
A302450,KBSTAR 코스피,20181029,20445,20445,20030,20030,695233,0,-12,20619,21801,22540,0
A302450,KBSTAR 코스피,20181026,20670,20670,20210,20330,13401,0,-7,20946,21976,22588,0
A302450,KBSTAR 코스피,20181025,20540,20700,20395,20680,9380,0,-25,21198,22126,22630,0
A302450,KBSTAR 코스피,20181024,21215,21215,20990,21020,203233,0,-4,21362,22250,22664,0
A302450,KBSTAR 코스피,20181023,21545,21545,21005,21035,4045,0,39,21507,22352,22694,0
A302450,KBSTAR 코스피,20181022,21360,21665,21360,21665,177654,0,11,21593,22454,0,0
A302450,KBSTAR 코스피,20181019,21355,21590,21215,21590,22,0,20,21556,22522,0,0
