stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A303360,프로테옴텍,20190129,15300,15300,15300,15300,100,0,100,15570,17295,0,0
A303360,프로테옴텍,20190128,15300,16100,14600,15800,614,0,100,15810,17530,0,0
A303360,프로테옴텍,20190125,15800,15800,14800,15800,149,0,0,15840,17740,0,0
A303360,프로테옴텍,20190124,15000,15000,15000,15000,24,0,0,15980,17972,0,0
A303360,프로테옴텍,20190123,15000,15950,15000,15950,41,0,0,16180,18222,0,0
A303360,프로테옴텍,20190122,15000,16500,15000,16500,44,0,0,16390,18400,0,0
A303360,프로테옴텍,20190121,15000,15950,15000,15950,42,0,0,16660,18475,0,0
A303360,프로테옴텍,20190118,16500,16500,16500,16500,1,0,0,17150,18578,0,0
A303360,프로테옴텍,20190117,16000,16000,16000,16000,20,0,0,17450,0,0,0
A303360,프로테옴텍,20190116,17000,17000,16000,17000,82,0,0,17990,0,0,0
A303360,프로테옴텍,20190115,17900,17900,17000,17850,72,0,0,18340,0,0,0
A303360,프로테옴텍,20190114,17450,18400,17450,18400,101,0,100,18460,0,0,0
A303360,프로테옴텍,20190111,17850,18000,17850,18000,121,0,100,18560,0,0,0
A303360,프로테옴텍,20190110,18000,18700,18000,18700,102,0,100,18730,0,0,0
A303360,프로테옴텍,20190109,17850,18750,17850,18750,101,0,100,18750,0,0,0
A303360,프로테옴텍,20190108,18300,18450,18300,18450,101,0,100,18880,0,0,0
A303360,프로테옴텍,20190107,18250,18900,18250,18900,101,0,100,19190,0,0,0
A303360,프로테옴텍,20190104,18200,18850,18200,18850,101,0,100,19410,0,0,0
A303360,프로테옴텍,20190103,18800,18800,18800,18800,100,0,100,19730,0,0,0
A303360,프로테옴텍,20190102,19400,19400,19400,19400,100,0,100,19970,0,0,0
A303360,프로테옴텍,20181228,20000,20000,20000,20000,0,0,0,19990,0,0,0
A303360,프로테옴텍,20181227,20000,20000,20000,20000,100,0,0,19590,0,0,0
A303360,프로테옴텍,20181226,19400,20450,19400,20450,101,0,100,19190,0,0,0
A303360,프로테옴텍,20181224,20000,20000,20000,20000,10,0,0,0,0,0,0
A303360,프로테옴텍,20181221,19500,19500,19500,19500,0,0,0,0,0,0,0
A303360,프로테옴텍,20181220,18000,18000,18000,18000,0,0,0,0,0,0,0
A303360,프로테옴텍,20181219,17300,19850,17300,18000,75,0,0,0,0,0,0
