stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A306520,HANARO 200선물인버스,20190129,15365,15470,15305,15305,207,0,-2,15502,16090,16260,0
A306520,HANARO 200선물인버스,20190128,15330,15415,15270,15385,210,0,-8,15615,16153,16284,0
A306520,HANARO 200선물인버스,20190125,15595,15600,15350,15370,231,0,-32,15695,16215,16306,0
A306520,HANARO 200선물인버스,20190124,15775,15810,15655,15655,213,0,4,15781,16288,16329,0
A306520,HANARO 200선물인버스,20190123,15930,15935,15760,15795,223,0,-26,15837,16337,16350,0
A306520,HANARO 200선물인버스,20190122,15760,15930,15760,15870,203,0,3,15873,16378,16365,0
A306520,HANARO 200선물인버스,20190121,15725,15885,15725,15785,200,0,-2,15906,16415,16375,0
A306520,HANARO 200선물인버스,20190118,15800,15870,15790,15800,215,0,-30,16021,16448,16382,0
A306520,HANARO 200선물인버스,20190117,15905,15980,15855,15935,212,0,-19,16101,16486,16388,0
A306520,HANARO 200선물인버스,20190116,16025,16080,15955,15975,204,0,-9,16177,16514,16385,0
A306520,HANARO 200선물인버스,20190115,16295,16305,16020,16035,555,0,-51,16244,16543,16382,0
A306520,HANARO 200선물인버스,20190114,16235,16385,16235,16360,230,0,-15,16368,16556,16379,0
A306520,HANARO 200선물인버스,20190111,16240,16300,16180,16200,210,0,-14,16408,16556,16368,0
A306520,HANARO 200선물인버스,20190110,16255,16355,16235,16315,470,0,-22,16524,16576,16363,0
A306520,HANARO 200선물인버스,20190109,16545,16560,16260,16310,251,0,-70,16649,16588,16356,0
A306520,HANARO 200선물인버스,20190108,16535,16665,16505,16655,202,0,-4,16740,16592,16347,0
A306520,HANARO 200선물인버스,20190107,16545,16585,16430,16560,224,0,-23,16723,16581,16335,0
A306520,HANARO 200선물인버스,20190104,16935,16975,16775,16780,296,0,-20,16735,16562,16314,0
A306520,HANARO 200선물인버스,20190103,16775,16945,16755,16940,5352,0,14,16748,16528,16288,0
A306520,HANARO 200선물인버스,20190102,16420,16800,16420,16765,214,0,-13,16685,16478,16258,0
A306520,HANARO 200선물인버스,20181228,16515,16570,16475,16570,202,0,-1,16654,16449,16231,0
A306520,HANARO 200선물인버스,20181227,16595,16665,16545,16620,205,0,-4,16664,16423,16203,0
A306520,HANARO 200선물인버스,20181226,16775,16940,16740,16845,562,0,6,16629,16396,16171,0
A306520,HANARO 200선물인버스,20181224,16670,16690,16605,16625,238,0,-46,16573,16362,16135,0
A306520,HANARO 200선물인버스,20181221,16620,16645,16575,16610,302,0,101,16547,16346,16101,0
A306520,HANARO 200선물인버스,20181220,16630,16695,16515,16620,236,0,2,16535,16342,16070,0
A306520,HANARO 200선물인버스,20181219,16535,16555,16430,16445,50219,0,-19,16470,16330,16039,0
A306520,HANARO 200선물인버스,20181218,16630,16630,16475,16565,217,0,9,16454,16327,16013,0
A306520,HANARO 200선물인버스,20181217,16525,16525,16440,16495,309,0,-105,16460,16313,15986,0
A306520,HANARO 200선물인버스,20181214,16320,16610,16315,16550,380,0,46,16471,16295,0,0
A306520,HANARO 200선물인버스,20181213,16430,16430,16225,16295,211,0,-2,16437,16277,0,0
A306520,HANARO 200선물인버스,20181212,16545,16570,16355,16365,247,0,11,16466,16272,0,0
A306520,HANARO 200선물인버스,20181211,16570,16620,16545,16595,221,0,6,16432,16270,0,0
A306520,HANARO 200선물인버스,20181210,16680,16680,16515,16550,562,0,15,16333,16256,0,0
A306520,HANARO 200선물인버스,20181207,16355,16445,16315,16380,289,0,-87,16208,16237,0,0
A306520,HANARO 200선물인버스,20181206,16300,16470,16285,16440,236,0,37,16171,16229,0,0
A306520,HANARO 200선물인버스,20181205,16300,16300,16135,16195,313,0,-110,16092,16214,0,0
A306520,HANARO 200선물인버스,20181204,16010,16170,15970,16100,34209,0,-9,16070,16218,0,0
A306520,HANARO 200선물인버스,20181203,15940,16075,15875,15925,34743,0,529,16084,16224,0,0
A306520,HANARO 200선물인버스,20181130,16055,16235,15985,16195,34584,0,-383,16157,16243,0,0
A306520,HANARO 200선물인버스,20181129,15895,16075,15845,16045,34241,0,64,16223,16240,0,0
A306520,HANARO 200선물인버스,20181128,16160,16205,16085,16085,34240,0,-30,16294,16276,0,0
A306520,HANARO 200선물인버스,20181127,16310,16335,16145,16170,34237,0,-37,16352,16307,0,0
A306520,HANARO 200선물인버스,20181126,16550,16550,16290,16290,34227,0,-23,16376,16336,0,0
A306520,HANARO 200선물인버스,20181123,16410,16595,16390,16525,34567,0,71,16345,16366,0,0
A306520,HANARO 200선물인버스,20181122,16385,16445,16330,16400,34205,0,15,16277,16376,0,0
A306520,HANARO 200선물인버스,20181121,16485,16560,16360,16375,220,0,20,16236,16380,0,0
A306520,HANARO 200선물인버스,20181120,16305,16345,16230,16290,521,0,19,16228,16372,0,0
A306520,HANARO 200선물인버스,20181119,16125,16210,16030,16135,531,0,-15,16229,16365,0,0
A306520,HANARO 200선물인버스,20181116,16110,16215,16085,16185,500,0,0,16237,16346,0,0
A306520,HANARO 200선물인버스,20181115,16340,16415,16165,16195,50578,0,-97,16246,16326,0,0
A306520,HANARO 200선물인버스,20181114,16305,16390,16285,16335,500,0,0,16235,16309,0,0
A306520,HANARO 200선물인버스,20181113,16480,16575,16280,16295,560,0,57,16224,16278,0,0
A306520,HANARO 200선물인버스,20181112,16330,16330,16145,16175,641,0,-155,16207,16258,0,0
A306520,HANARO 200선물인버스,20181109,16180,16245,16090,16230,1149,0,1,16232,16244,0,0
A306520,HANARO 200선물인버스,20181108,16015,16140,15925,16140,511,0,-11,16215,16220,0,0
A306520,HANARO 200선물인버스,20181107,16230,16310,16060,16280,1000,0,0,16340,16210,0,0
A306520,HANARO 200선물인버스,20181106,16205,16375,16180,16210,1002,0,0,16424,16161,0,0
A306520,HANARO 200선물인버스,20181105,16330,16495,16280,16300,1001,0,0,16533,16112,0,0
A306520,HANARO 200선물인버스,20181102,16520,16530,16125,16145,236,0,-30,16651,16054,0,0
A306520,HANARO 200선물인버스,20181101,16665,16765,16490,16765,1006,0,-6,16768,16003,0,0
A306520,HANARO 200선물인버스,20181031,16765,16860,16675,16700,1000,0,0,16711,15909,0,0
A306520,HANARO 200선물인버스,20181030,16890,16965,16615,16755,1037,0,60,16613,15810,0,0
A306520,HANARO 200선물인버스,20181029,16740,16890,16575,16890,1119,0,-119,16492,15706,0,0
A306520,HANARO 200선물인버스,20181026,16550,16890,16525,16730,1017,0,10,16265,15592,0,0
A306520,HANARO 200선물인버스,20181025,16525,16710,16480,16480,1142,0,-28,16076,15491,0,0
A306520,HANARO 200선물인버스,20181024,16005,16240,16005,16210,1574,0,478,15949,15406,0,0
A306520,HANARO 200선물인버스,20181023,15875,16215,15860,16150,1208,0,-233,15849,15341,0,0
A306520,HANARO 200선물인버스,20181022,15895,15935,15715,15755,1000,0,0,15799,15279,0,0
A306520,HANARO 200선물인버스,20181019,15980,16060,15765,15785,1064,0,1,15826,0,0,0
A306520,HANARO 200선물인버스,20181018,15750,15855,15715,15845,1000,0,0,15822,0,0,0
A306520,HANARO 200선물인버스,20181017,15730,15765,15610,15710,1096,0,-100,15839,0,0,0
A306520,HANARO 200선물인버스,20181016,15750,15930,15750,15900,1095,0,-101,15758,0,0,0
A306520,HANARO 200선물인버스,20181015,15830,15895,15775,15890,1028,0,-100,15623,0,0,0
A306520,HANARO 200선물인버스,20181012,16045,16045,15670,15765,1564,0,20,15474,0,0,0
A306520,HANARO 200선물인버스,20181011,15635,15955,15595,15930,1064,0,-22,15347,0,0,0
A306520,HANARO 200선물인버스,20181010,15180,15355,15180,15305,1152,0,0,15138,0,0,0
A306520,HANARO 200선물인버스,20181008,15215,15225,15090,15225,1112,0,60,15018,0,0,0
A306520,HANARO 200선물인버스,20181005,15145,15250,15090,15145,2300,0,-41,14911,0,0,0
A306520,HANARO 200선물인버스,20181004,14930,15145,14920,15130,1183,0,8,14802,0,0,0
A306520,HANARO 200선물인버스,20181002,14705,14885,14675,14885,1378,0,82,14719,0,0,0
A306520,HANARO 200선물인버스,20181001,14635,14755,14635,14705,1158,0,-10,14697,0,0,0
A306520,HANARO 200선물인버스,20180928,14615,14700,14605,14690,1000,0,0,14738,0,0,0
A306520,HANARO 200선물인버스,20180927,14725,14725,14580,14600,1001,0,-1,14784,0,0,0
A306520,HANARO 200선물인버스,20180921,14795,14795,14715,14715,1000,0,0,0,0,0,0
A306520,HANARO 200선물인버스,20180920,14950,14950,14715,14775,1100,0,-100,0,0,0,0
A306520,HANARO 200선물인버스,20180919,14945,14975,14875,14910,1006,0,-6,0,0,0,0
A306520,HANARO 200선물인버스,20180918,15120,15120,14920,14920,1000,0,0,0,0,0,0
