stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A309190,ARIRANG KRX300산업재,20190129,11855,11855,11785,11805,29,0,10,11820,11497,0,0
A309190,ARIRANG KRX300산업재,20190128,11925,11945,11890,11890,41,0,-17,11801,11466,0,0
A309190,ARIRANG KRX300산업재,20190125,11755,11855,11740,11850,27,0,3,11770,11427,0,0
A309190,ARIRANG KRX300산업재,20190124,11725,11815,11725,11805,92,0,-1,11745,11376,0,0
A309190,ARIRANG KRX300산업재,20190123,11685,11755,11650,11750,18,0,4,11701,11342,0,0
A309190,ARIRANG KRX300산업재,20190122,11750,11750,11675,11710,26,0,-1,11667,11314,0,0
A309190,ARIRANG KRX300산업재,20190121,11820,11820,11725,11735,112,0,-4,11636,11291,0,0
A309190,ARIRANG KRX300산업재,20190118,11670,11725,11635,11725,93,0,-3,11563,11269,0,0
A309190,ARIRANG KRX300산업재,20190117,11585,11610,11535,11585,94,0,-3,11484,11251,0,0
A309190,ARIRANG KRX300산업재,20190116,11525,11600,11525,11580,95,0,-1,11429,11242,0,0
A309190,ARIRANG KRX300산업재,20190115,11400,11565,11400,11555,89,0,-8,11391,11234,0,0
A309190,ARIRANG KRX300산업재,20190114,11365,11385,11290,11370,89,0,0,11318,11230,0,0
A309190,ARIRANG KRX300산업재,20190111,11290,11340,11280,11330,122,0,0,11295,11224,0,0
A309190,ARIRANG KRX300산업재,20190110,11400,11400,11300,11310,79,0,0,11266,11212,0,0
A309190,ARIRANG KRX300산업재,20190109,11315,11440,11315,11390,89,0,0,11204,11199,0,0
A309190,ARIRANG KRX300산업재,20190108,11310,11310,11160,11190,106,0,0,11110,11190,0,0
A309190,ARIRANG KRX300산업재,20190107,11270,11345,11185,11255,166,0,0,11107,11188,0,0
A309190,ARIRANG KRX300산업재,20190104,10990,11195,10955,11185,78,0,0,11079,11190,0,0
A309190,ARIRANG KRX300산업재,20190103,10945,11070,10945,11000,114,0,1,11008,11196,0,0
A309190,ARIRANG KRX300산업재,20190102,11190,11195,10900,10920,77,0,-1,11033,11212,0,0
A309190,ARIRANG KRX300산업재,20181228,11190,11215,11165,11175,96,0,0,11090,11225,0,0
A309190,ARIRANG KRX300산업재,20181227,11000,11155,10980,11115,185,0,2,11104,11224,0,0
A309190,ARIRANG KRX300산업재,20181226,10940,10970,10775,10830,115,0,-2,11139,11225,0,0
A309190,ARIRANG KRX300산업재,20181224,11150,11170,11100,11125,87,0,0,11247,11236,0,0
A309190,ARIRANG KRX300산업재,20181221,11280,11280,11135,11205,102,0,0,11300,11226,0,0
A309190,ARIRANG KRX300산업재,20181220,11275,11320,11160,11245,83,0,0,11347,11206,0,0
A309190,ARIRANG KRX300산업재,20181219,11255,11290,11235,11290,89,0,0,11393,11187,0,0
A309190,ARIRANG KRX300산업재,20181218,11330,11465,11330,11370,81,0,0,11385,11174,0,0
A309190,ARIRANG KRX300산업재,20181217,11460,11510,11380,11390,73,0,0,11325,11161,0,0
A309190,ARIRANG KRX300산업재,20181214,11535,11535,11370,11440,123,0,0,11260,11142,0,0
A309190,ARIRANG KRX300산업재,20181213,11295,11500,11295,11475,62,0,0,11211,11113,0,0
A309190,ARIRANG KRX300산업재,20181212,11075,11250,11075,11250,110,0,0,11150,11074,0,0
A309190,ARIRANG KRX300산업재,20181211,11085,11090,10975,11070,166,0,0,11157,11043,0,0
A309190,ARIRANG KRX300산업재,20181210,11070,11130,11010,11065,91,0,0,11206,11024,0,0
A309190,ARIRANG KRX300산업재,20181207,11250,11250,11135,11195,91,0,0,11256,11006,0,0
A309190,ARIRANG KRX300산업재,20181206,11320,11320,11115,11170,96,0,0,11251,10978,0,0
A309190,ARIRANG KRX300산업재,20181205,11205,11345,11205,11285,100,0,0,11250,10951,0,0
A309190,ARIRANG KRX300산업재,20181204,11335,11390,11265,11315,109,0,3,11219,0,0,0
A309190,ARIRANG KRX300산업재,20181203,11270,11360,11235,11315,153,0,-3,11165,0,0,0
A309190,ARIRANG KRX300산업재,20181130,11280,11280,11155,11170,100,0,0,11089,0,0,0
A309190,ARIRANG KRX300산업재,20181129,11265,11275,11155,11165,100,0,0,11017,0,0,0
A309190,ARIRANG KRX300산업재,20181128,11055,11130,11020,11130,100,0,0,10954,0,0,0
A309190,ARIRANG KRX300산업재,20181127,10960,11045,10915,11045,50,0,0,10933,0,0,0
A309190,ARIRANG KRX300산업재,20181126,10950,10970,10875,10935,100,0,0,10947,0,0,0
A309190,ARIRANG KRX300산업재,20181123,10860,10940,10775,10810,100,0,0,10964,0,0,0
A309190,ARIRANG KRX300산업재,20181122,11050,11050,10825,10850,200,0,0,10972,0,0,0
A309190,ARIRANG KRX300산업재,20181121,10920,11025,10920,11025,100,0,0,10944,0,0,0
A309190,ARIRANG KRX300산업재,20181120,10955,11140,10955,11115,100,0,0,10862,0,0,0
A309190,ARIRANG KRX300산업재,20181119,10890,11025,10890,11020,100,0,0,10780,0,0,0
A309190,ARIRANG KRX300산업재,20181116,10680,10870,10680,10850,100,0,0,10714,0,0,0
A309190,ARIRANG KRX300산업재,20181115,10590,10710,10520,10710,103,0,3,10670,0,0,0
