stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A310970,TIGER MSCI Korea TR,20190129,10790,10875,10790,10875,7,0,-3,10732,10310,0,0
A310970,TIGER MSCI Korea TR,20190128,10850,10895,10840,10875,27,0,1,10647,10268,0,0
A310970,TIGER MSCI Korea TR,20190125,10820,10820,10820,10820,0,0,0,10573,10222,0,0
A310970,TIGER MSCI Korea TR,20190124,10605,10605,10605,10605,0,0,0,10503,10170,0,0
A310970,TIGER MSCI Korea TR,20190123,10450,10485,10450,10485,150,0,-50,10464,10138,0,0
A310970,TIGER MSCI Korea TR,20190122,10490,10490,10405,10450,570,0,48,10447,10107,0,0
A310970,TIGER MSCI Korea TR,20190121,10505,10505,10505,10505,20,0,0,10416,10080,0,0
A310970,TIGER MSCI Korea TR,20190118,10470,10470,10470,10470,1,0,1,10355,10058,0,0
A310970,TIGER MSCI Korea TR,20190117,10410,10410,10410,10410,1,0,1,10309,10032,0,0
A310970,TIGER MSCI Korea TR,20190116,10320,10400,10305,10400,1992,0,1498,10252,10013,0,0
A310970,TIGER MSCI Korea TR,20190115,10295,10295,10295,10295,1,0,-1,10201,9992,0,0
A310970,TIGER MSCI Korea TR,20190114,10200,10200,10200,10200,1,0,-1,10126,9988,0,0
A310970,TIGER MSCI Korea TR,20190111,10240,10240,10240,10240,20,0,0,10081,9983,0,0
A310970,TIGER MSCI Korea TR,20190110,10125,10125,10125,10125,9,0,9,9995,9970,0,0
A310970,TIGER MSCI Korea TR,20190109,10000,10170,10000,10145,1591,0,431,9920,9965,0,0
A310970,TIGER MSCI Korea TR,20190108,9975,9990,9920,9920,83,0,26,9860,9964,0,0
A310970,TIGER MSCI Korea TR,20190107,9985,10015,9975,9975,1854,0,106,9884,9972,0,0
A310970,TIGER MSCI Korea TR,20190104,9735,9810,9735,9810,66,0,-46,9877,9986,0,0
A310970,TIGER MSCI Korea TR,20190103,9855,9855,9730,9750,1800,0,-131,9873,10011,0,0
A310970,TIGER MSCI Korea TR,20190102,9990,9990,9835,9845,9010,0,8168,9914,10045,0,0
A310970,TIGER MSCI Korea TR,20181228,10050,10060,9990,10040,408805,0,5223,9921,10065,0,0
A310970,TIGER MSCI Korea TR,20181227,9935,10120,9930,9940,402107,0,99,9895,10079,0,0
A310970,TIGER MSCI Korea TR,20181226,9820,9865,9780,9790,405926,0,-446,9918,10097,0,0
A310970,TIGER MSCI Korea TR,20181224,10025,10025,9880,9955,499169,0,-1123,9952,10122,0,0
A310970,TIGER MSCI Korea TR,20181221,9910,9915,9880,9880,401800,0,0,9965,10134,0,0
A310970,TIGER MSCI Korea TR,20181220,9980,10020,9905,9910,10046253,0,9099884,9988,10143,0,0
A310970,TIGER MSCI Korea TR,20181219,9960,10055,9960,10055,1207114,0,14,10045,10153,0,0
A310970,TIGER MSCI Korea TR,20181218,9930,10005,9910,9960,877013,0,-13,10057,10155,0,0
A310970,TIGER MSCI Korea TR,20181217,9985,10020,9960,10020,822314,0,126,10061,10166,0,0
A310970,TIGER MSCI Korea TR,20181214,10180,10185,9955,9995,444788,0,-1922,10061,0,0,0
A310970,TIGER MSCI Korea TR,20181213,10135,10195,10130,10195,10312391,0,9799972,10086,0,0,0
A310970,TIGER MSCI Korea TR,20181212,10005,10115,9995,10115,405823,0,443,10063,0,0,0
A310970,TIGER MSCI Korea TR,20181211,10020,10050,9955,9980,805342,0,-5102,10093,0,0,0
A310970,TIGER MSCI Korea TR,20181210,10010,10020,9950,10020,465637,0,-16,10159,0,0,0
A310970,TIGER MSCI Korea TR,20181207,10160,10160,10075,10120,3384392,0,-48,10241,0,0,0
A310970,TIGER MSCI Korea TR,20181206,10200,10200,10050,10080,14714443,0,9599951,10264,0,0,0
A310970,TIGER MSCI Korea TR,20181205,10170,10270,10165,10265,4992386,0,-5,10312,0,0,0
A310970,TIGER MSCI Korea TR,20181204,10395,10400,10255,10310,4989526,0,92777,10319,0,0,0
A310970,TIGER MSCI Korea TR,20181203,10385,10430,10345,10430,12392205,0,9700200,10315,0,0,0
A310970,TIGER MSCI Korea TR,20181130,10330,10345,10210,10235,2798714,0,-12,10267,0,0,0
A310970,TIGER MSCI Korea TR,20181129,10445,10465,10305,10320,5566818,0,-8,10233,0,0,0
A310970,TIGER MSCI Korea TR,20181128,10260,10300,10230,10300,4024205,0,5,10192,0,0,0
A310970,TIGER MSCI Korea TR,20181127,10200,10290,10165,10290,3988020,0,-203,10150,0,0,0
A310970,TIGER MSCI Korea TR,20181126,10055,10190,10055,10190,3894309,0,103,10130,0,0,0
A310970,TIGER MSCI Korea TR,20181123,10125,10125,10010,10065,3999981,0,-162,0,0,0,0
A310970,TIGER MSCI Korea TR,20181122,10130,10140,10080,10115,3654979,0,-139,0,0,0,0
A310970,TIGER MSCI Korea TR,20181121,10040,10095,10000,10090,4040505,0,-5,0,0,0,0
A310970,TIGER MSCI Korea TR,20181120,10175,10225,10175,10190,3508922,0,-5020,0,0,0,0
