stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A900250,크리스탈신소재,20190129,1120,1135,1110,1130,316133,21993260,0,1134,1095,1178,1359
A900250,크리스탈신소재,20190128,1150,1160,1130,1135,287589,21956446,0,1133,1090,1179,1364
A900250,크리스탈신소재,20190125,1140,1150,1130,1140,436749,21939842,0,1132,1084,1180,1369
A900250,크리스탈신소재,20190124,1135,1145,1125,1135,433618,21859992,0,1126,1076,1179,1373
A900250,크리스탈신소재,20190123,1120,1145,1115,1130,3760655,21788946,0,1118,1069,1179,1378
A900250,크리스탈신소재,20190122,1130,1140,1110,1125,307124,21649673,0,1114,1065,1180,1382
A900250,크리스탈신소재,20190121,1115,1130,1110,1130,384612,21657096,0,1111,1063,1181,1386
A900250,크리스탈신소재,20190118,1095,1115,1090,1110,392944,21565138,0,1104,1061,1183,1390
A900250,크리스탈신소재,20190117,1115,1130,1080,1095,640593,21460525,0,1101,1059,1185,1395
A900250,크리스탈신소재,20190116,1110,1145,1105,1110,951725,21558627,0,1104,1057,1190,1400
A900250,크리스탈신소재,20190115,1090,1110,1085,1110,402504,21604829,0,1099,1055,1193,1405
A900250,크리스탈신소재,20190114,1100,1110,1090,1095,456359,21575674,0,1087,1056,1197,1410
A900250,크리스탈신소재,20190111,1110,1115,1090,1095,428724,21469765,0,1076,1057,1201,1415
A900250,크리스탈신소재,20190110,1095,1150,1085,1110,2047898,21487660,0,1058,1058,1204,1420
A900250,크리스탈신소재,20190109,1075,1130,1055,1085,1789556,21600962,0,1043,1062,1207,1425
A900250,크리스탈신소재,20190108,1045,1065,1035,1050,427965,21679433,0,1032,1067,1210,1430
A900250,크리스탈신소재,20190107,1020,1060,1020,1040,650784,21710582,0,1029,1071,1213,1435
A900250,크리스탈신소재,20190104,1025,1035,991,1005,4587416,21587112,0,1022,1074,1218,1440
A900250,크리스탈신소재,20190103,1025,1080,1025,1035,582759,21551398,0,1019,1080,1226,1445
A900250,크리스탈신소재,20190102,1050,1085,1030,1030,788442,21545240,0,1010,1084,1234,1449
A900250,크리스탈신소재,20181228,1000,1045,1000,1035,622671,21594684,0,1014,1092,1243,1453
A900250,크리스탈신소재,20181227,1000,1015,997,1005,695938,21465766,-352000,1025,1103,1252,1458
A900250,크리스탈신소재,20181226,962,1010,962,992,695834,21323522,0,1041,1121,1263,1463
A900250,크리스탈신소재,20181224,1035,1055,951,989,2133167,21063144,0,1056,1140,1273,1468
A900250,크리스탈신소재,20181221,1090,1110,1050,1050,736034,20808352,0,1072,1158,1285,1473
A900250,크리스탈신소재,20181220,1080,1125,1065,1090,910295,20743106,0,1076,1171,1295,1478
A900250,크리스탈신소재,20181219,1065,1100,1060,1085,705429,20766051,0,1081,1186,1305,1483
A900250,크리스탈신소재,20181218,1060,1090,1055,1065,527170,20766602,0,1088,1201,1315,1488
A900250,크리스탈신소재,20181217,1065,1085,1055,1070,658639,20755836,0,1097,1220,1325,1494
A900250,크리스탈신소재,20181214,1115,1120,1070,1070,1132985,20740073,0,1122,1239,1336,1499
A900250,크리스탈신소재,20181213,1125,1135,1110,1115,976602,20703412,0,1145,1258,1347,1504
A900250,크리스탈신소재,20181212,1110,1140,1105,1120,966760,20669873,0,1147,1272,1357,1510
A900250,크리스탈신소재,20181211,1185,1195,1110,1110,1994447,20654162,0,1146,1278,1367,1514
A900250,크리스탈신소재,20181210,1155,1250,1155,1195,3186649,20656409,-112587,1146,1284,1377,1519
A900250,크리스탈신소재,20181207,1140,1185,1130,1185,2000584,20779088,-107413,1133,1286,1386,1524
A900250,크리스탈신소재,20181206,1120,1155,1110,1125,1764570,20792778,0,1133,1292,1394,1530
A900250,크리스탈신소재,20181205,1090,1125,1085,1115,1221185,20789096,20000,1157,1302,1403,1537
A900250,크리스탈신소재,20181204,1130,1155,1110,1110,2210672,20702828,0,1210,1314,1413,1543
A900250,크리스탈신소재,20181203,1200,1215,1100,1130,8075189,20643777,30000,1263,1327,1424,1550
A900250,크리스탈신소재,20181130,1245,1265,1180,1185,2418143,22637802,170000,1307,1338,1433,1556
A900250,크리스탈신소재,20181129,1385,1390,1220,1245,7685028,22638512,-1600000,1330,1348,1442,1562
A900250,크리스탈신소재,20181128,1480,1480,1380,1380,2687386,24608615,0,1358,1345,1450,1567
A900250,크리스탈신소재,20181127,1360,1380,1320,1375,1052011,24723621,0,1359,1334,1455,1572
A900250,크리스탈신소재,20181126,1295,1355,1290,1350,779504,24785154,0,1375,1322,1460,1576
A900250,크리스탈신소재,20181123,1385,1400,1300,1300,1389950,24701267,0,1393,1310,1466,1580
A900250,크리스탈신소재,20181122,1385,1415,1365,1385,975679,24695680,0,1426,1304,1471,1585
A900250,크리스탈신소재,20181121,1425,1455,1365,1385,1783607,24702525,0,1425,1294,1474,1590
A900250,크리스탈신소재,20181120,1415,1500,1385,1455,4033197,24761846,0,1396,1286,1478,1594
A900250,크리스탈신소재,20181119,1475,1520,1420,1440,3722101,24801777,0,1351,1278,1481,1599
A900250,크리스탈신소재,20181116,1365,1610,1340,1465,18943962,24686605,0,1311,1272,1483,1604
A900250,크리스탈신소재,20181115,1340,1540,1305,1380,16900410,24784191,0,1279,1265,1485,1608
A900250,크리스탈신소재,20181114,1225,1255,1200,1240,690181,25328026,0,1269,1262,1488,1614
