stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DC91,미래DC91KOSPI200콜,20190129,10,15,10,15,153020,161110,-142010,23,32,44,0
J52DC91,미래DC91KOSPI200콜,20190128,15,20,15,15,62020,41990,-44990,27,33,45,0
J52DC91,미래DC91KOSPI200콜,20190125,15,15,10,15,1020,0,-1000,31,34,45,0
J52DC91,미래DC91KOSPI200콜,20190124,35,35,35,35,0,0,0,35,35,46,0
J52DC91,미래DC91KOSPI200콜,20190123,35,35,35,35,0,0,0,35,35,47,0
J52DC91,미래DC91KOSPI200콜,20190122,35,35,35,35,0,0,0,35,35,47,0
J52DC91,미래DC91KOSPI200콜,20190121,35,35,35,35,0,0,0,35,35,48,0
J52DC91,미래DC91KOSPI200콜,20190118,35,35,35,35,0,0,0,35,35,48,0
J52DC91,미래DC91KOSPI200콜,20190117,35,35,35,35,0,0,0,35,35,49,0
J52DC91,미래DC91KOSPI200콜,20190116,35,35,35,35,0,0,0,35,35,51,0
J52DC91,미래DC91KOSPI200콜,20190115,35,35,35,35,0,0,0,35,35,52,0
J52DC91,미래DC91KOSPI200콜,20190114,35,35,35,35,0,0,0,35,35,53,0
J52DC91,미래DC91KOSPI200콜,20190111,35,35,35,35,0,0,0,35,35,56,0
J52DC91,미래DC91KOSPI200콜,20190110,35,35,35,35,0,0,0,35,35,57,0
J52DC91,미래DC91KOSPI200콜,20190109,35,35,35,35,0,0,0,35,35,59,0
J52DC91,미래DC91KOSPI200콜,20190108,35,35,35,35,0,0,0,35,35,61,0
J52DC91,미래DC91KOSPI200콜,20190107,35,35,35,35,0,0,0,35,35,63,0
J52DC91,미래DC91KOSPI200콜,20190104,35,35,35,35,0,0,0,35,35,69,0
J52DC91,미래DC91KOSPI200콜,20190103,35,35,35,35,0,0,0,35,37,80,0
J52DC91,미래DC91KOSPI200콜,20190102,35,35,35,35,0,0,0,35,39,90,0
J52DC91,미래DC91KOSPI200콜,20181228,35,35,35,35,0,0,0,35,41,101,0
J52DC91,미래DC91KOSPI200콜,20181227,35,35,35,35,0,0,0,35,43,112,0
J52DC91,미래DC91KOSPI200콜,20181226,35,35,35,35,0,0,0,35,44,123,0
J52DC91,미래DC91KOSPI200콜,20181224,35,35,35,35,0,0,0,35,45,134,0
J52DC91,미래DC91KOSPI200콜,20181221,35,35,35,35,0,0,0,35,46,144,0
J52DC91,미래DC91KOSPI200콜,20181220,35,35,35,35,0,0,0,35,46,155,0
J52DC91,미래DC91KOSPI200콜,20181219,35,35,35,35,0,0,0,35,47,166,0
J52DC91,미래DC91KOSPI200콜,20181218,35,35,35,35,0,0,0,35,47,177,0
J52DC91,미래DC91KOSPI200콜,20181217,35,35,35,35,0,0,0,35,48,188,0
