stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DD03,미래DD03KOSPI200콜,20190129,10,10,10,10,0,0,0,10,10,10,0
J52DD03,미래DD03KOSPI200콜,20190128,10,10,10,10,0,0,0,10,10,10,0
J52DD03,미래DD03KOSPI200콜,20190125,10,10,10,10,0,0,0,10,10,10,0
J52DD03,미래DD03KOSPI200콜,20190124,10,10,10,10,0,0,0,10,10,11,0
J52DD03,미래DD03KOSPI200콜,20190123,10,10,10,10,0,0,0,10,10,11,0
J52DD03,미래DD03KOSPI200콜,20190122,10,10,10,10,0,0,0,10,10,11,0
J52DD03,미래DD03KOSPI200콜,20190121,10,10,10,10,0,0,0,10,10,11,0
J52DD03,미래DD03KOSPI200콜,20190118,10,10,10,10,0,0,0,10,10,11,0
J52DD03,미래DD03KOSPI200콜,20190117,10,10,10,10,0,0,0,10,10,12,0
J52DD03,미래DD03KOSPI200콜,20190116,10,10,10,10,0,0,0,10,10,12,0
J52DD03,미래DD03KOSPI200콜,20190115,10,10,10,10,0,0,0,10,10,12,0
J52DD03,미래DD03KOSPI200콜,20190114,10,10,10,10,0,0,0,10,10,13,0
J52DD03,미래DD03KOSPI200콜,20190111,10,10,10,10,0,0,0,10,10,13,0
J52DD03,미래DD03KOSPI200콜,20190110,10,10,10,10,0,0,0,10,10,14,0
J52DD03,미래DD03KOSPI200콜,20190109,10,10,10,10,0,0,0,10,10,14,0
J52DD03,미래DD03KOSPI200콜,20190108,10,10,10,10,0,0,0,10,10,14,0
J52DD03,미래DD03KOSPI200콜,20190107,10,10,10,10,0,0,0,10,10,15,0
J52DD03,미래DD03KOSPI200콜,20190104,10,10,10,10,0,0,0,10,10,16,0
J52DD03,미래DD03KOSPI200콜,20190103,10,10,10,10,0,0,0,10,10,20,0
J52DD03,미래DD03KOSPI200콜,20190102,10,10,10,10,0,0,0,10,10,24,0
J52DD03,미래DD03KOSPI200콜,20181228,10,10,10,10,0,0,0,10,10,28,0
J52DD03,미래DD03KOSPI200콜,20181227,10,10,10,10,390,0,-390,10,10,32,0
J52DD03,미래DD03KOSPI200콜,20181226,10,10,10,10,0,0,0,10,10,36,0
J52DD03,미래DD03KOSPI200콜,20181224,10,10,10,10,0,0,0,10,10,40,0
J52DD03,미래DD03KOSPI200콜,20181221,10,10,10,10,0,0,0,10,10,44,0
J52DD03,미래DD03KOSPI200콜,20181220,10,10,10,10,0,0,0,10,10,48,0
J52DD03,미래DD03KOSPI200콜,20181219,10,10,10,10,0,0,0,10,10,52,0
J52DD03,미래DD03KOSPI200콜,20181218,10,10,10,10,0,0,0,10,10,55,0
J52DD03,미래DD03KOSPI200콜,20181217,10,10,10,10,0,0,0,10,10,59,0
J52DD03,미래DD03KOSPI200콜,20181214,10,10,10,10,0,0,0,10,10,63,0
J52DD03,미래DD03KOSPI200콜,20181213,10,10,10,10,450,0,-450,10,10,67,0
J52DD03,미래DD03KOSPI200콜,20181212,10,10,10,10,0,0,0,10,10,71,0
J52DD03,미래DD03KOSPI200콜,20181211,10,10,10,10,0,0,0,10,10,74,0
J52DD03,미래DD03KOSPI200콜,20181210,10,10,10,10,0,0,0,10,10,0,0
