stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DD11,미래DD11KOSPI200풋,20190129,250,270,210,210,50550,351660,-45340,312,971,895,0
J52DD11,미래DD11KOSPI200풋,20190128,230,240,195,240,1900,302760,-1600,366,1031,903,0
J52DD11,미래DD11KOSPI200풋,20190125,330,330,235,235,309960,302460,-309770,414,1089,910,0
J52DD11,미래DD11KOSPI200풋,20190124,480,480,375,375,1050,0,-740,478,1160,917,0
J52DD11,미래DD11KOSPI200풋,20190123,600,600,470,500,1440,300,-1100,524,1212,922,0
J52DD11,미래DD11KOSPI200풋,20190122,480,480,480,480,0,0,0,569,1258,925,0
J52DD11,미래DD11KOSPI200풋,20190121,480,480,480,480,40,0,40,621,1304,928,0
J52DD11,미래DD11KOSPI200풋,20190118,570,570,200,555,3130,0,990,702,1350,931,0
J52DD11,미래DD11KOSPI200풋,20190117,600,610,600,605,870,0,-870,768,1393,933,0
J52DD11,미래DD11KOSPI200풋,20190116,735,735,725,725,130,0,-130,1014,1434,934,0
J52DD11,미래DD11KOSPI200풋,20190115,800,800,740,740,550,0,-550,1236,1468,933,0
J52DD11,미래DD11KOSPI200풋,20190114,885,885,885,885,0,0,0,1455,1464,931,0
J52DD11,미래DD11KOSPI200풋,20190111,885,885,885,885,100,0,0,1645,1453,930,0
J52DD11,미래DD11KOSPI200풋,20190110,1835,1835,1835,1835,0,0,0,1835,1442,929,0
J52DD11,미래DD11KOSPI200풋,20190109,1835,1835,1835,1835,0,0,0,1807,1384,912,0
J52DD11,미래DD11KOSPI200풋,20190108,1835,1835,1835,1835,0,0,0,1768,1325,892,0
J52DD11,미래DD11KOSPI200풋,20190107,1835,1835,1835,1835,0,0,0,1682,1266,874,0
J52DD11,미래DD11KOSPI200풋,20190104,1825,1875,1815,1835,350,0,-350,1596,1208,851,0
J52DD11,미래DD11KOSPI200풋,20190103,1730,1740,1695,1695,300,0,-200,1560,1150,826,0
J52DD11,미래DD11KOSPI200풋,20190102,1635,1640,1635,1640,150,100,-100,1503,1098,803,0
J52DD11,미래DD11KOSPI200풋,20181228,1405,1405,1405,1405,0,150,0,1457,1049,781,0
J52DD11,미래DD11KOSPI200풋,20181227,1640,1640,1375,1405,300,150,-300,1458,1012,763,0
J52DD11,미래DD11KOSPI200풋,20181226,1510,1770,1510,1655,650,150,-400,1459,975,745,0
J52DD11,미래DD11KOSPI200풋,20181224,1410,1410,1410,1410,0,100,0,1410,926,722,0
