stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DD27,미래DD27케이티지콜,20190129,15,15,15,15,0,0,0,17,17,21,0
J52DD27,미래DD27케이티지콜,20190128,15,15,15,15,0,0,0,17,18,21,0
J52DD27,미래DD27케이티지콜,20190125,20,20,15,15,520,0,-500,17,18,21,0
J52DD27,미래DD27케이티지콜,20190124,20,20,20,20,20,0,0,18,18,21,0
J52DD27,미래DD27케이티지콜,20190123,20,20,20,20,20,0,0,17,18,21,0
J52DD27,미래DD27케이티지콜,20190122,20,20,15,15,20,0,0,16,19,21,0
J52DD27,미래DD27케이티지콜,20190121,20,20,15,15,100020,0,0,16,19,22,0
J52DD27,미래DD27케이티지콜,20190118,20,20,20,20,20,0,0,17,20,22,0
J52DD27,미래DD27케이티지콜,20190117,20,20,15,15,20,0,0,17,20,22,0
J52DD27,미래DD27케이티지콜,20190116,20,20,15,15,20,0,0,18,20,22,0
J52DD27,미래DD27케이티지콜,20190115,25,25,15,15,20,0,0,19,21,22,0
J52DD27,미래DD27케이티지콜,20190114,25,25,20,20,20,0,0,20,22,22,0
J52DD27,미래DD27케이티지콜,20190111,25,25,20,20,20,0,0,19,22,22,0
J52DD27,미래DD27케이티지콜,20190110,25,25,15,20,120020,0,0,19,23,22,0
J52DD27,미래DD27케이티지콜,20190109,25,25,20,20,20,0,0,18,24,22,0
J52DD27,미래DD27케이티지콜,20190108,20,20,15,20,70,0,50,17,24,22,0
J52DD27,미래DD27케이티지콜,20190107,25,25,15,15,20,0,0,17,25,22,0
J52DD27,미래DD27케이티지콜,20190104,20,20,20,20,20,0,0,18,26,22,0
J52DD27,미래DD27케이티지콜,20190103,15,15,15,15,0,0,0,19,26,22,0
J52DD27,미래DD27케이티지콜,20190102,25,25,15,15,200020,0,0,21,26,22,0
J52DD27,미래DD27케이티지콜,20181228,25,25,20,20,20,0,0,23,27,22,0
J52DD27,미래DD27케이티지콜,20181227,25,25,20,20,20,0,0,24,27,22,0
J52DD27,미래DD27케이티지콜,20181226,30,30,20,25,60020,0,0,25,27,23,0
J52DD27,미래DD27케이티지콜,20181224,30,30,25,25,1497020,0,49990,24,27,23,0
J52DD27,미래DD27케이티지콜,20181221,30,30,25,25,80010,0,-20000,25,27,23,0
J52DD27,미래DD27케이티지콜,20181220,30,30,25,25,170020,0,-30000,26,27,23,0
J52DD27,미래DD27케이티지콜,20181219,25,25,25,25,240000,0,0,27,27,23,0
J52DD27,미래DD27케이티지콜,20181218,30,30,20,20,20,0,0,28,26,0,0
J52DD27,미래DD27케이티지콜,20181217,35,35,30,30,220,0,0,30,26,0,0
J52DD27,미래DD27케이티지콜,20181214,35,35,30,30,300020,0,20,31,25,0,0
J52DD27,미래DD27케이티지콜,20181213,35,35,30,30,50020,0,50000,31,24,0,0
J52DD27,미래DD27케이티지콜,20181212,30,35,25,30,160050,0,-40010,31,24,0,0
J52DD27,미래DD27케이티지콜,20181211,35,35,30,30,20,0,0,31,24,0,0
J52DD27,미래DD27케이티지콜,20181210,30,35,30,35,547720,0,0,30,23,0,0
J52DD27,미래DD27케이티지콜,20181207,30,30,25,30,200030,0,0,28,22,0,0
J52DD27,미래DD27케이티지콜,20181206,30,30,25,30,200020,0,139990,27,22,0,0
J52DD27,미래DD27케이티지콜,20181205,25,30,25,30,170,0,150,26,21,0,0
J52DD27,미래DD27케이티지콜,20181204,25,25,20,25,50010,0,-49990,25,20,0,0
J52DD27,미래DD27케이티지콜,20181203,25,25,20,25,299030,0,0,25,20,0,0
J52DD27,미래DD27케이티지콜,20181130,25,25,20,25,300020,0,200000,24,20,0,0
J52DD27,미래DD27케이티지콜,20181129,25,25,25,25,50030,0,50030,23,19,0,0
J52DD27,미래DD27케이티지콜,20181128,25,25,20,25,655020,0,154990,23,19,0,0
J52DD27,미래DD27케이티지콜,20181127,20,25,15,25,612010,0,11980,21,19,0,0
J52DD27,미래DD27케이티지콜,20181126,20,20,15,20,40020,0,39990,19,19,0,0
J52DD27,미래DD27케이티지콜,20181123,20,20,15,20,542010,0,-542000,18,19,0,0
J52DD27,미래DD27케이티지콜,20181122,20,25,15,25,30,0,-10,17,19,0,0
J52DD27,미래DD27케이티지콜,20181121,20,20,15,15,20,0,-10,16,18,0,0
J52DD27,미래DD27케이티지콜,20181120,20,20,15,15,20,0,-10,17,19,0,0
J52DD27,미래DD27케이티지콜,20181119,20,20,15,15,20,0,-10,18,19,0,0
J52DD27,미래DD27케이티지콜,20181116,20,20,15,15,20,0,-10,19,19,0,0
J52DD27,미래DD27케이티지콜,20181115,25,25,20,20,20,0,0,20,20,0,0
J52DD27,미래DD27케이티지콜,20181114,25,25,20,20,20,0,0,20,20,0,0
J52DD27,미래DD27케이티지콜,20181113,25,25,20,20,20,0,10,19,20,0,0
J52DD27,미래DD27케이티지콜,20181112,20,20,20,20,310,0,290,18,20,0,0
J52DD27,미래DD27케이티지콜,20181109,20,20,20,20,15290,0,-15290,17,20,0,0
J52DD27,미래DD27케이티지콜,20181108,20,20,20,20,200020,0,0,16,20,0,0
J52DD27,미래DD27케이티지콜,20181107,15,15,15,15,0,0,0,17,20,0,0
J52DD27,미래DD27케이티지콜,20181106,15,15,15,15,0,0,0,18,20,0,0
J52DD27,미래DD27케이티지콜,20181105,15,15,15,15,0,0,0,20,21,0,0
