stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DD61,미래DD61SK하이닉콜,20190129,5,5,5,5,300,0,300,11,14,20,0
J52DD61,미래DD61SK하이닉콜,20190128,10,10,10,10,200,0,200,13,14,21,0
J52DD61,미래DD61SK하이닉콜,20190125,5,10,5,10,22720,0,22720,14,15,21,0
J52DD61,미래DD61SK하이닉콜,20190124,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190123,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190122,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190121,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190118,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190117,15,15,15,15,0,0,0,15,15,22,0
J52DD61,미래DD61SK하이닉콜,20190116,15,15,15,15,0,0,0,15,15,23,0
J52DD61,미래DD61SK하이닉콜,20190115,15,15,15,15,0,0,0,15,15,23,0
J52DD61,미래DD61SK하이닉콜,20190114,15,15,15,15,0,0,0,15,15,24,0
J52DD61,미래DD61SK하이닉콜,20190111,15,15,15,15,0,0,0,15,15,24,0
J52DD61,미래DD61SK하이닉콜,20190110,15,15,15,15,0,0,0,15,15,24,0
J52DD61,미래DD61SK하이닉콜,20190109,15,15,15,15,0,0,0,15,15,25,0
J52DD61,미래DD61SK하이닉콜,20190108,15,15,15,15,0,0,0,15,15,25,0
J52DD61,미래DD61SK하이닉콜,20190107,15,15,15,15,0,0,0,15,15,26,0
J52DD61,미래DD61SK하이닉콜,20190104,15,15,15,15,0,0,0,15,15,26,0
J52DD61,미래DD61SK하이닉콜,20190103,15,15,15,15,0,0,0,15,16,26,0
J52DD61,미래DD61SK하이닉콜,20190102,15,15,15,15,0,0,0,15,16,27,0
J52DD61,미래DD61SK하이닉콜,20181228,15,15,15,15,0,0,0,15,16,27,0
J52DD61,미래DD61SK하이닉콜,20181227,15,15,15,15,0,0,0,15,17,28,0
J52DD61,미래DD61SK하이닉콜,20181226,15,15,15,15,0,0,0,15,18,28,0
J52DD61,미래DD61SK하이닉콜,20181224,15,15,15,15,0,0,0,15,18,29,0
J52DD61,미래DD61SK하이닉콜,20181221,15,15,15,15,0,0,0,15,19,30,0
J52DD61,미래DD61SK하이닉콜,20181220,15,15,15,15,0,0,0,15,19,31,0
J52DD61,미래DD61SK하이닉콜,20181219,15,15,15,15,0,0,0,15,20,0,0
J52DD61,미래DD61SK하이닉콜,20181218,15,15,15,15,0,0,0,15,20,0,0
J52DD61,미래DD61SK하이닉콜,20181217,15,15,15,15,0,0,0,15,20,0,0
J52DD61,미래DD61SK하이닉콜,20181214,15,15,15,15,0,0,0,15,20,0,0
J52DD61,미래DD61SK하이닉콜,20181213,15,15,15,15,0,0,0,15,21,0,0
J52DD61,미래DD61SK하이닉콜,20181212,15,15,15,15,0,0,0,15,22,0,0
J52DD61,미래DD61SK하이닉콜,20181211,15,15,15,15,0,0,0,16,23,0,0
J52DD61,미래DD61SK하이닉콜,20181210,15,15,15,15,0,0,0,17,24,0,0
J52DD61,미래DD61SK하이닉콜,20181207,15,15,15,15,166870,0,-6870,19,26,0,0
J52DD61,미래DD61SK하이닉콜,20181206,15,15,15,15,1040020,0,200000,21,27,0,0
J52DD61,미래DD61SK하이닉콜,20181205,20,20,20,20,0,0,0,24,28,0,0
J52DD61,미래DD61SK하이닉콜,20181204,20,20,20,20,1210050,0,-209990,26,29,0,0
J52DD61,미래DD61SK하이닉콜,20181203,25,25,25,25,2880050,0,30,27,30,0,0
J52DD61,미래DD61SK하이닉콜,20181130,30,30,25,25,2000020,0,-30,27,30,0,0
J52DD61,미래DD61SK하이닉콜,20181129,40,40,30,30,1982060,0,-1010,26,31,0,0
J52DD61,미래DD61SK하이닉콜,20181128,30,30,30,30,2850250,0,3570,24,31,0,0
J52DD61,미래DD61SK하이닉콜,20181127,25,25,25,25,1741030,0,258990,22,31,0,0
J52DD61,미래DD61SK하이닉콜,20181126,30,30,20,25,1370080,0,-229990,21,31,0,0
J52DD61,미래DD61SK하이닉콜,20181123,20,20,20,20,0,0,0,21,31,0,0
J52DD61,미래DD61SK하이닉콜,20181122,20,20,20,20,0,0,0,23,31,0,0
J52DD61,미래DD61SK하이닉콜,20181121,20,20,20,20,1643520,0,93500,26,31,0,0
J52DD61,미래DD61SK하이닉콜,20181120,15,20,15,20,4265360,0,83960,28,32,0,0
J52DD61,미래DD61SK하이닉콜,20181119,30,30,25,25,413750,0,4400,31,32,0,0
J52DD61,미래DD61SK하이닉콜,20181116,40,40,30,30,285640,0,-225640,35,33,0,0
J52DD61,미래DD61SK하이닉콜,20181115,35,35,35,35,8200,0,-7200,37,33,0,0
J52DD61,미래DD61SK하이닉콜,20181114,40,40,25,30,703900,0,96150,38,33,0,0
