stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DE08,미래DE08한국전력콜,20190129,45,45,45,45,1529030,0,50010,45,58,40,0
J52DE08,미래DE08한국전력콜,20190128,45,45,45,45,10,0,-10,45,58,39,0
J52DE08,미래DE08한국전력콜,20190125,55,55,45,45,3967020,0,117010,45,58,39,0
J52DE08,미래DE08한국전력콜,20190124,50,50,45,45,423020,0,-164000,47,58,38,0
J52DE08,미래DE08한국전력콜,20190123,50,50,45,45,931520,0,48530,51,58,38,0
J52DE08,미래DE08한국전력콜,20190122,45,45,45,45,40000,0,-40000,55,59,37,0
J52DE08,미래DE08한국전력콜,20190121,60,60,45,45,561200,0,770,60,60,37,0
J52DE08,미래DE08한국전력콜,20190118,60,60,55,55,595010,0,97110,64,60,36,0
J52DE08,미래DE08한국전력콜,20190117,65,65,60,65,130010,0,-127990,67,60,36,0
J52DE08,미래DE08한국전력콜,20190116,65,65,60,65,800040,0,-30,67,59,35,0
J52DE08,미래DE08한국전력콜,20190115,70,70,65,70,1391520,0,35010,65,58,34,0
J52DE08,미래DE08한국전력콜,20190114,65,70,65,65,4467900,0,-30910,66,57,33,0
J52DE08,미래DE08한국전력콜,20190111,65,70,65,70,4142600,0,-590,65,56,32,0
J52DE08,미래DE08한국전력콜,20190110,60,65,60,65,281400,0,-21290,64,55,31,0
J52DE08,미래DE08한국전력콜,20190109,70,70,55,55,742820,0,-17430,65,54,30,0
J52DE08,미래DE08한국전력콜,20190108,65,75,65,75,50540,0,50020,65,52,30,0
J52DE08,미래DE08한국전력콜,20190107,65,65,60,60,350020,0,-50000,60,50,29,0
J52DE08,미래DE08한국전력콜,20190104,65,75,65,65,157910,0,20500,58,49,28,0
J52DE08,미래DE08한국전력콜,20190103,60,70,60,70,1264660,0,209560,55,47,27,0
J52DE08,미래DE08한국전력콜,20190102,55,60,55,55,1171430,0,-211560,51,45,26,0
J52DE08,미래DE08한국전력콜,20181228,50,55,50,50,3863610,0,1310,50,44,26,0
J52DE08,미래DE08한국전력콜,20181227,40,50,40,50,9053300,0,170700,52,43,25,0
J52DE08,미래DE08한국전력콜,20181226,50,50,50,50,3507020,0,-220000,54,42,25,0
J52DE08,미래DE08한국전력콜,20181224,55,55,50,50,2952140,0,16880,54,41,25,0
J52DE08,미래DE08한국전력콜,20181221,65,65,50,50,723020,0,-7000,54,40,25,0
J52DE08,미래DE08한국전력콜,20181220,65,65,60,60,460740,0,44310,53,38,24,0
J52DE08,미래DE08한국전력콜,20181219,60,60,55,60,32780,0,-12220,50,35,24,0
J52DE08,미래DE08한국전력콜,20181218,50,50,50,50,81060,0,40080,46,32,23,0
J52DE08,미래DE08한국전력콜,20181217,50,50,45,50,23010,0,-22990,46,30,0,0
J52DE08,미래DE08한국전력콜,20181214,40,50,40,45,1998450,0,-186670,44,29,0,0
J52DE08,미래DE08한국전력콜,20181213,45,45,45,45,459000,0,0,42,28,0,0
J52DE08,미래DE08한국전력콜,20181212,40,45,35,40,1879530,0,199510,40,26,0,0
J52DE08,미래DE08한국전력콜,20181211,50,50,45,50,1836540,0,-199510,38,25,0,0
J52DE08,미래DE08한국전력콜,20181210,45,45,40,40,30,0,10,34,24,0,0
J52DE08,미래DE08한국전력콜,20181207,35,35,35,35,120000,0,0,32,23,0,0
J52DE08,미래DE08한국전력콜,20181206,35,35,35,35,50,0,-50,31,22,0,0
J52DE08,미래DE08한국전력콜,20181205,35,35,30,30,200020,0,0,30,21,0,0
J52DE08,미래DE08한국전력콜,20181204,30,30,30,30,0,0,0,31,20,0,0
J52DE08,미래DE08한국전력콜,20181203,30,30,30,30,220000,0,0,30,20,0,0
J52DE08,미래DE08한국전력콜,20181130,30,30,30,30,220000,0,0,28,19,0,0
J52DE08,미래DE08한국전력콜,20181129,35,35,30,30,20,0,0,24,18,0,0
J52DE08,미래DE08한국전력콜,20181128,25,35,25,35,1830020,0,350000,20,17,0,0
J52DE08,미래DE08한국전력콜,20181127,30,30,20,25,160050,0,30,15,16,0,0
J52DE08,미래DE08한국전력콜,20181126,15,20,15,20,810010,0,-349990,12,16,0,0
J52DE08,미래DE08한국전력콜,20181123,10,10,10,10,0,0,0,11,16,0,0
J52DE08,미래DE08한국전력콜,20181122,10,10,10,10,0,0,0,13,16,0,0
J52DE08,미래DE08한국전력콜,20181121,10,10,10,10,0,0,0,15,16,0,0
J52DE08,미래DE08한국전력콜,20181120,20,20,10,10,20,0,0,17,16,0,0
J52DE08,미래DE08한국전력콜,20181119,5,20,5,15,30,0,0,19,16,0,0
J52DE08,미래DE08한국전력콜,20181116,20,20,20,20,10,0,-10,20,16,0,0
J52DE08,미래DE08한국전력콜,20181115,20,20,20,20,240000,0,0,20,16,0,0
J52DE08,미래DE08한국전력콜,20181114,20,20,20,20,1480010,0,-20,19,16,0,0
J52DE08,미래DE08한국전력콜,20181113,20,20,20,20,0,0,0,18,16,0,0
J52DE08,미래DE08한국전력콜,20181112,20,20,20,20,0,0,0,17,15,0,0
J52DE08,미래DE08한국전력콜,20181109,5,20,5,20,40,0,-10,16,15,0,0
J52DE08,미래DE08한국전력콜,20181108,15,15,15,15,0,0,0,15,14,0,0
J52DE08,미래DE08한국전력콜,20181107,15,15,15,15,10,0,-10,15,14,0,0
J52DE08,미래DE08한국전력콜,20181106,15,15,15,15,10,0,-10,15,14,0,0
J52DE08,미래DE08한국전력콜,20181105,15,15,15,15,10,0,-10,15,15,0,0
J52DE08,미래DE08한국전력콜,20181102,15,15,15,15,0,0,0,15,15,0,0
J52DE08,미래DE08한국전력콜,20181101,15,15,15,15,10,0,-10,15,15,0,0
J52DE08,미래DE08한국전력콜,20181031,10,15,10,15,20,0,0,15,16,0,0
J52DE08,미래DE08한국전력콜,20181030,10,15,10,15,20,0,0,15,17,0,0
J52DE08,미래DE08한국전력콜,20181029,15,15,10,15,20020,0,19990,15,18,0,0
J52DE08,미래DE08한국전력콜,20181026,5,20,5,15,180080,0,-20030,15,19,0,0
J52DE08,미래DE08한국전력콜,20181025,15,15,15,15,0,0,0,15,20,0,0
J52DE08,미래DE08한국전력콜,20181024,15,15,15,15,0,0,0,14,20,0,0
J52DE08,미래DE08한국전력콜,20181023,15,15,15,15,0,0,0,14,21,0,0
J52DE08,미래DE08한국전력콜,20181022,15,15,15,15,0,0,0,14,0,0,0
J52DE08,미래DE08한국전력콜,20181019,15,15,15,15,10,0,-10,14,0,0,0
J52DE08,미래DE08한국전력콜,20181018,5,10,5,10,30,0,-10,13,0,0,0
J52DE08,미래DE08한국전력콜,20181017,5,15,5,15,40,0,-20,14,0,0,0
J52DE08,미래DE08한국전력콜,20181016,10,15,10,15,20,0,0,14,0,0,0
J52DE08,미래DE08한국전력콜,20181015,15,15,15,15,10,0,-10,15,0,0,0
J52DE08,미래DE08한국전력콜,20181012,10,10,10,10,20,0,-20,16,0,0,0
J52DE08,미래DE08한국전력콜,20181011,15,15,15,15,0,0,0,18,0,0,0
J52DE08,미래DE08한국전력콜,20181010,15,15,15,15,10,0,-10,21,0,0,0
J52DE08,미래DE08한국전력콜,20181008,20,20,20,20,0,0,0,24,0,0,0
J52DE08,미래DE08한국전력콜,20181005,25,25,15,20,480020,0,0,27,0,0,0
J52DE08,미래DE08한국전력콜,20181004,20,20,20,20,10,0,-10,30,0,0,0
J52DE08,미래DE08한국전력콜,20181002,30,30,30,30,10,0,-10,32,0,0,0
J52DE08,미래DE08한국전력콜,20181001,35,35,30,30,380020,0,0,32,0,0,0
J52DE08,미래DE08한국전력콜,20180928,35,35,35,35,0,0,0,33,0,0,0
J52DE08,미래DE08한국전력콜,20180927,35,35,35,35,10,0,-10,0,0,0,0
J52DE08,미래DE08한국전력콜,20180921,35,35,30,30,300020,0,-20,0,0,0,0
J52DE08,미래DE08한국전력콜,20180920,30,30,30,30,140010,0,-10,0,0,0,0
J52DE08,미래DE08한국전력콜,20180919,35,35,30,35,40,0,-20,0,0,0,0
