stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DE10,미래DE10글로비스콜,20190129,50,55,45,55,632000,0,0,55,53,41,0
J52DE10,미래DE10글로비스콜,20190128,50,50,50,50,10020,0,10000,55,52,40,0
J52DE10,미래DE10글로비스콜,20190125,65,65,45,45,1898020,0,-10000,57,52,40,0
J52DE10,미래DE10글로비스콜,20190124,60,65,55,65,1716020,0,12000,60,51,39,0
J52DE10,미래DE10글로비스콜,20190123,60,60,55,60,534030,0,-12000,59,50,39,0
J52DE10,미래DE10글로비스콜,20190122,60,60,50,55,2775020,0,25000,58,49,38,0
J52DE10,미래DE10글로비스콜,20190121,65,70,60,60,2644030,0,-17000,58,48,37,0
J52DE10,미래DE10글로비스콜,20190118,60,60,55,60,4297020,0,-8000,55,48,37,0
J52DE10,미래DE10글로비스콜,20190117,55,60,55,60,1609000,0,0,53,46,36,0
J52DE10,미래DE10글로비스콜,20190116,60,60,55,55,2311020,0,30000,51,46,36,0
J52DE10,미래DE10글로비스콜,20190115,50,55,50,55,1559020,0,0,51,45,35,0
J52DE10,미래DE10글로비스콜,20190114,50,55,45,45,130060,0,-30000,50,44,34,0
J52DE10,미래DE10글로비스콜,20190111,55,55,45,50,1100020,0,0,52,44,34,0
J52DE10,미래DE10글로비스콜,20190110,55,55,45,50,400020,0,0,53,43,34,0
J52DE10,미래DE10글로비스콜,20190109,50,55,50,55,800020,0,0,52,42,34,0
J52DE10,미래DE10글로비스콜,20190108,55,55,50,50,1200020,0,0,48,41,33,0
J52DE10,미래DE10글로비스콜,20190107,60,60,55,55,20,0,0,46,40,33,0
J52DE10,미래DE10글로비스콜,20190104,45,60,45,55,3119010,0,100010,43,39,33,0
J52DE10,미래DE10글로비스콜,20190103,40,50,35,45,1599030,0,-100010,38,38,32,0
J52DE10,미래DE10글로비스콜,20190102,40,40,35,35,860020,0,0,37,38,33,0
J52DE10,미래DE10글로비스콜,20181228,40,40,35,40,200120,0,100,38,38,33,0
J52DE10,미래DE10글로비스콜,20181227,40,40,35,40,638420,0,200,39,38,33,0
J52DE10,미래DE10글로비스콜,20181226,35,35,30,30,20,0,0,40,37,33,0
J52DE10,미래DE10글로비스콜,20181224,40,40,35,40,2037020,0,0,42,38,34,0
J52DE10,미래DE10글로비스콜,20181221,50,50,40,40,599430,0,0,42,36,34,0
