stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
J52DE65,미래DE65KOSPI200콜,20190129,40,50,40,50,2260,3800,660,30,23,150,0
J52DE65,미래DE65KOSPI200콜,20190128,25,50,25,35,3240,3800,-2510,23,22,181,0
J52DE65,미래DE65KOSPI200콜,20190125,40,55,20,20,4090,1700,690,26,21,212,0
J52DE65,미래DE65KOSPI200콜,20190124,25,25,25,25,400,0,400,32,20,244,0
J52DE65,미래DE65KOSPI200콜,20190123,20,20,20,20,1400,0,600,32,24,275,0
J52DE65,미래DE65KOSPI200콜,20190122,30,30,15,15,4800,0,-800,33,27,307,0
J52DE65,미래DE65KOSPI200콜,20190121,50,50,50,50,0,0,0,35,31,338,0
J52DE65,미래DE65KOSPI200콜,20190118,50,50,50,50,10,0,10,30,33,369,0
J52DE65,미래DE65KOSPI200콜,20190117,25,25,25,25,0,0,0,22,35,400,0
J52DE65,미래DE65KOSPI200콜,20190116,25,25,25,25,0,0,0,19,38,432,0
J52DE65,미래DE65KOSPI200콜,20190115,25,25,25,25,0,0,0,16,42,463,0
J52DE65,미래DE65KOSPI200콜,20190114,25,25,25,25,1400,0,1400,13,45,495,0
J52DE65,미래DE65KOSPI200콜,20190111,10,10,10,10,0,0,0,10,48,526,0
J52DE65,미래DE65KOSPI200콜,20190110,10,10,10,10,0,0,0,10,52,558,0
J52DE65,미래DE65KOSPI200콜,20190109,10,10,10,10,0,0,0,12,56,590,0
J52DE65,미래DE65KOSPI200콜,20190108,10,10,10,10,0,0,0,14,60,622,0
J52DE65,미래DE65KOSPI200콜,20190107,10,10,10,10,0,0,0,16,64,625,0
J52DE65,미래DE65KOSPI200콜,20190104,10,10,10,10,200,0,-200,18,68,628,0
J52DE65,미래DE65KOSPI200콜,20190103,20,20,20,20,0,0,0,18,72,0,0
J52DE65,미래DE65KOSPI200콜,20190102,20,20,20,20,0,0,0,32,76,0,0
J52DE65,미래DE65KOSPI200콜,20181228,20,20,20,20,0,0,0,46,78,0,0
J52DE65,미래DE65KOSPI200콜,20181227,20,20,20,20,10,0,10,60,82,0,0
J52DE65,미래DE65KOSPI200콜,20181226,10,10,10,10,1200,0,-1200,74,84,0,0
J52DE65,미래DE65KOSPI200콜,20181224,90,90,90,90,0,0,0,90,87,0,0
J52DE65,미래DE65KOSPI200콜,20181221,90,90,90,90,0,0,0,90,84,0,0
J52DE65,미래DE65KOSPI200콜,20181220,90,90,90,90,0,0,0,90,83,0,0
J52DE65,미래DE65KOSPI200콜,20181219,90,90,90,90,0,0,0,90,81,0,0
J52DE65,미래DE65KOSPI200콜,20181218,90,90,90,90,0,0,0,90,80,0,0
J52DE65,미래DE65KOSPI200콜,20181217,90,90,90,90,0,0,0,90,78,0,0
J52DE65,미래DE65KOSPI200콜,20181214,90,90,90,90,0,0,0,90,78,0,0
J52DE65,미래DE65KOSPI200콜,20181213,90,90,90,90,0,0,0,90,76,0,0
J52DE65,미래DE65KOSPI200콜,20181212,90,90,90,90,0,0,0,90,76,0,0
J52DE65,미래DE65KOSPI200콜,20181211,90,90,90,90,0,0,0,90,76,0,0
J52DE65,미래DE65KOSPI200콜,20181210,90,90,90,90,0,0,0,90,76,0,0
J52DE65,미래DE65KOSPI200콜,20181207,90,90,90,90,0,0,0,90,74,0,0
J52DE65,미래DE65KOSPI200콜,20181206,90,90,90,90,0,0,0,86,73,0,0
J52DE65,미래DE65KOSPI200콜,20181205,90,90,90,90,0,0,0,86,74,0,0
J52DE65,미래DE65KOSPI200콜,20181204,90,90,90,90,0,0,0,84,72,0,0
J52DE65,미래DE65KOSPI200콜,20181203,85,90,80,90,330,0,330,77,164,0,0
J52DE65,미래DE65KOSPI200콜,20181130,70,70,70,70,1900,0,1900,67,255,0,0
J52DE65,미래DE65KOSPI200콜,20181129,90,95,90,90,400,0,-400,65,347,0,0
J52DE65,미래DE65KOSPI200콜,20181128,60,80,60,80,6290,0,-2990,59,438,0,0
J52DE65,미래DE65KOSPI200콜,20181127,45,70,45,55,4200,0,-1200,55,530,0,0
J52DE65,미래DE65KOSPI200콜,20181126,60,60,35,40,1640,0,100,56,623,0,0
J52DE65,미래DE65KOSPI200콜,20181123,60,60,60,60,0,0,0,63,717,0,0
J52DE65,미래DE65KOSPI200콜,20181122,60,60,60,60,0,0,0,65,810,0,0
J52DE65,미래DE65KOSPI200콜,20181121,60,60,60,60,300,0,-300,71,902,0,0
J52DE65,미래DE65KOSPI200콜,20181120,80,80,55,60,1210,0,610,77,995,0,0
J52DE65,미래DE65KOSPI200콜,20181119,80,80,65,75,810,0,-410,80,1088,0,0
J52DE65,미래DE65KOSPI200콜,20181116,110,110,65,70,900,0,-100,77,1180,0,0
J52DE65,미래DE65KOSPI200콜,20181115,90,90,90,90,0,0,0,77,1272,0,0
J52DE65,미래DE65KOSPI200콜,20181114,95,95,90,90,800,0,300,78,1364,0,0
J52DE65,미래DE65KOSPI200콜,20181113,85,85,50,75,1300,0,-100,74,1455,0,0
J52DE65,미래DE65KOSPI200콜,20181112,120,120,45,60,900,0,-300,442,1547,0,0
J52DE65,미래DE65KOSPI200콜,20181109,155,165,65,70,700,0,100,813,1640,0,0
J52DE65,미래DE65KOSPI200콜,20181108,200,205,85,95,1000,0,200,1182,1732,0,0
J52DE65,미래DE65KOSPI200콜,20181107,50,70,50,70,600,0,-600,1546,1738,0,0
J52DE65,미래DE65KOSPI200콜,20181106,1915,1915,1915,1915,0,0,0,1915,1744,0,0
J52DE65,미래DE65KOSPI200콜,20181105,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181102,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181101,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181031,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181030,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181029,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181026,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181025,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181024,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181023,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181022,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181019,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181018,1915,1915,1915,1915,0,0,0,1915,0,0,0
J52DE65,미래DE65KOSPI200콜,20181017,1915,1915,1915,1915,0,0,0,1575,0,0,0
J52DE65,미래DE65KOSPI200콜,20181016,1915,1915,1915,1915,0,0,0,1231,0,0,0
J52DE65,미래DE65KOSPI200콜,20181015,1915,1915,1915,1915,0,0,0,0,0,0,0
J52DE65,미래DE65KOSPI200콜,20181012,1975,1975,1915,1915,700,0,700,0,0,0,0
J52DE65,미래DE65KOSPI200콜,20181011,280,280,215,215,200,0,-200,0,0,0,0
J52DE65,미래DE65KOSPI200콜,20181010,145,195,145,195,500,0,-500,0,0,0,0
